,platform,genre,title,score
0,SoulCalibur,puzzle,SoulCalibur,98
1,Super Mario Galaxy,puzzle,Super Mario Galaxy,97
2,Super Mario Galaxy 2,puzzle,Super Mario Galaxy 2,97
3,Perfect Dark,puzzle,Perfect Dark,97
4,Metroid Prime,puzzle,Metroid Prime,97
5,Super Mario Odyssey,puzzle,Super Mario Odyssey,97
6,Halo: Combat Evolved,puzzle,Halo: Combat Evolved,97
7,Half-Life 2,puzzle,Half-Life 2,96
8,BioShock,puzzle,BioShock,96
9,GoldenEye 007,puzzle,GoldenEye 007,96
10,World of Goo,puzzle,World of Goo,96
11,The Orange Box,puzzle,The Orange Box,96
12,The Orange Box,puzzle,The Orange Box,96
13,Tekken 3,puzzle,Tekken 3,96
14,Super QuickHook,puzzle,Super QuickHook,96
15,Half-Life,puzzle,Half-Life,96
16,BioShock,puzzle,BioShock,96
17,LittleBigPlanet,puzzle,LittleBigPlanet,95
18,Red Dead Redemption,puzzle,Red Dead Redemption,95
19,Halo 2,puzzle,Halo 2,95
20,Portal 2,puzzle,Portal 2,95
21,VVVVVV,puzzle,VVVVVV,95
22,Red Dead Redemption,puzzle,Red Dead Redemption,95
23,Super Stickman Golf 3,puzzle,Super Stickman Golf 3,95
24,Portal 2,puzzle,Portal 2,95
25,Portal 2,puzzle,Portal 2,95
26,World of Goo,puzzle,World of Goo,94
27,BioShock Infinite,puzzle,BioShock Infinite,94
28,Call of Duty: Modern Warfare 2,puzzle,Call of Duty: Modern Warfare 2,94
29,Flipping Legend,puzzle,Flipping Legend,94
30,Call of Duty 4: Modern Warfare,puzzle,Call of Duty 4: Modern Warfare,94
31,iBlast Moki,puzzle,iBlast Moki,94
32,Celeste,puzzle,Celeste,94
33,BioShock,puzzle,BioShock,94
34,N.O.V.A. - Near Orbit Vanguard Alliance,puzzle,N.O.V.A. - Near Orbit Vanguard Alliance,94
35,Anomaly: Warzone Earth,puzzle,Anomaly: Warzone Earth,94
