,meta_href,user_href
0,/game/playstation-4/tony-hawks-pro-skater-1-+-2,/game/playstation-4/tony-hawks-pro-skater-1-+-2
1,/game/playstation-4/spelunky-2,/game/playstation-4/spelunky-2
2,/game/playstation-4/13-sentinels-aegis-rim,/game/playstation-4/13-sentinels-aegis-rim
3,/game/playstation-4/marvels-spider-man-miles-morales,/game/playstation-4/marvels-spider-man-miles-morales
4,/game/playstation-4/until-you-fall,/game/playstation-4/until-you-fall
5,/game/playstation-4/the-jackbox-party-pack-7,/game/playstation-4/the-jackbox-party-pack-7
6,/game/playstation-4/crash-bandicoot-4-its-about-time,/game/playstation-4/crash-bandicoot-4-its-about-time
7,/game/playstation-4/yakuza-like-a-dragon,/game/playstation-4/yakuza-like-a-dragon
8,/game/playstation-4/sackboy-a-big-adventure,/game/playstation-4/sackboy-a-big-adventure
9,/game/playstation-4/the-legend-of-heroes-trails-of-cold-steel-iv,/game/playstation-4/the-legend-of-heroes-trails-of-cold-steel-iv
0,/game/playstation-5/demons-souls,/game/playstation-5/demons-souls
1,/game/playstation-5/devil-may-cry-5-special-edition,/game/playstation-5/devil-may-cry-5-special-edition
2,/game/playstation-5/marvels-spider-man-miles-morales,/game/playstation-5/marvels-spider-man-miles-morales
3,/game/playstation-5/overcooked!-all-you-can-eat,/game/playstation-5/overcooked!-all-you-can-eat
4,/game/playstation-5/astros-playroom,/game/playstation-5/astros-playroom
5,/game/playstation-5/mortal-kombat-11-ultimate,/game/playstation-5/mortal-kombat-11-ultimate
6,/game/playstation-5/the-pathless,/game/playstation-5/the-pathless
7,/game/playstation-5/sackboy-a-big-adventure,/game/playstation-5/sackboy-a-big-adventure
8,/game/playstation-5/call-of-duty-black-ops-cold-war,/game/playstation-5/call-of-duty-black-ops-cold-war
9,/game/playstation-5/bugsnax,/game/playstation-5/bugsnax
0,/game/xbox-one/yakuza-like-a-dragon,/game/xbox-one/yakuza-like-a-dragon
1,/game/xbox-one/supraland,/game/xbox-one/supraland
2,/game/xbox-one/tony-hawks-pro-skater-1-+-2,/game/xbox-one/tony-hawks-pro-skater-1-+-2
3,/game/xbox-one/wasteland-3,/game/xbox-one/wasteland-3
4,/game/xbox-one/welcome-to-elk,/game/xbox-one/welcome-to-elk
5,/game/xbox-one/stories-untold,/game/xbox-one/stories-untold
6,/game/xbox-one/inertial-drift,/game/xbox-one/inertial-drift
7,/game/xbox-one/lair-of-the-clockwork-god,/game/xbox-one/lair-of-the-clockwork-god
8,/game/xbox-one/port-royale-4,/game/xbox-one/port-royale-4
9,/game/xbox-one/crash-bandicoot-4-its-about-time,/game/xbox-one/crash-bandicoot-4-its-about-time
0,/game/xbox-series-x/ori-and-the-will-of-the-wisps,/game/xbox-series-x/ori-and-the-will-of-the-wisps
1,/game/xbox-series-x/tetris-effect-connected,/game/xbox-series-x/tetris-effect-connected
2,/game/xbox-series-x/assassins-creed-valhalla,/game/xbox-series-x/assassins-creed-valhalla
3,/game/xbox-series-x/devil-may-cry-5-special-edition,/game/xbox-series-x/devil-may-cry-5-special-edition
4,/game/xbox-series-x/yakuza-like-a-dragon,/game/xbox-series-x/yakuza-like-a-dragon
5,/game/xbox-series-x/dirt-5,/game/xbox-series-x/dirt-5
6,/game/xbox-series-x/nba-2k21,/game/xbox-series-x/nba-2k21
7,/game/xbox-series-x/observer-system-redux,/game/xbox-series-x/observer-system-redux
8,/game/xbox-series-x/gears-tactics,/game/xbox-series-x/gears-tactics
9,/game/xbox-series-x/call-of-duty-black-ops-cold-war,/game/xbox-series-x/call-of-duty-black-ops-cold-war
0,/game/switch/hades,/game/switch/hades
1,/game/switch/ori-and-the-will-of-the-wisps,/game/switch/ori-and-the-will-of-the-wisps
2,/game/switch/if-found,/game/switch/if-found
3,/game/switch/moastray,/game/switch/moastray
4,/game/switch/pikmin-3-deluxe,/game/switch/pikmin-3-deluxe
5,/game/switch/hypnospace-outlaw,/game/switch/hypnospace-outlaw
6,/game/switch/filament,/game/switch/filament
7,/game/switch/horace,/game/switch/horace
8,/game/switch/cthulhu-saves-christmas,/game/switch/cthulhu-saves-christmas
9,/game/switch/rebel-galaxy-outlaw,/game/switch/rebel-galaxy-outlaw
0,/game/pc/hades,/game/pc/hades
1,/game/pc/halo-the-master-chief-collection---halo-3-odst,/game/pc/halo-the-master-chief-collection---halo-3-odst
2,/game/pc/crusader-kings-iii,/game/pc/crusader-kings-iii
3,/game/pc/spelunky-2,/game/pc/spelunky-2
4,/game/pc/inertial-drift,/game/pc/inertial-drift
5,/game/pc/tony-hawks-pro-skater-1-+-2,/game/pc/tony-hawks-pro-skater-1-+-2
6,/game/pc/embracelet,/game/pc/embracelet
7,/game/pc/cook-out-a-sandwich-tale,/game/pc/cook-out-a-sandwich-tale
8,/game/pc/wasteland-3,/game/pc/wasteland-3
9,/game/pc/3-out-of-10,/game/pc/3-out-of-10
