,Unnamed: 0,platform,genre,title,score
0,0,                                        Dreamcast,action,SoulCalibur,98
1,1,                                        Wii,action,Super Mario Galaxy,97
2,2,                                        Wii,action,Super Mario Galaxy 2,97
3,3,                                        Nintendo 64,action,Perfect Dark,97
4,4,                                        GameCube,action,Metroid Prime,97
5,5,                                        Switch,action,Super Mario Odyssey,97
6,6,                                        Xbox,action,Halo: Combat Evolved,97
7,7,                                        PC,action,Half-Life 2,96
8,8,                                        Xbox 360,action,BioShock,96
9,9,                                        Nintendo 64,action,GoldenEye 007,96
10,10,                                        iOS,action,World of Goo,96
11,11,                                        Xbox 360,action,The Orange Box,96
12,12,                                        PC,action,The Orange Box,96
13,13,                                        PlayStation,action,Tekken 3,96
14,14,                                        iOS,action,Super QuickHook,96
15,15,                                        PC,action,Half-Life,96
16,16,                                        PC,action,BioShock,96
17,17,                                        PlayStation 3,action,LittleBigPlanet,95
18,18,                                        PlayStation 3,action,Red Dead Redemption,95
19,19,                                        Xbox,action,Halo 2,95
20,20,                                        PC,action,Portal 2,95
21,21,                                        iOS,action,VVVVVV,95
22,22,                                        Xbox 360,action,Red Dead Redemption,95
23,23,                                        iOS,action,Super Stickman Golf 3,95
24,24,                                        Xbox 360,action,Portal 2,95
25,25,                                        PlayStation 3,action,Portal 2,95
26,26,                                        Wii,action,World of Goo,94
27,27,                                        PlayStation 3,action,BioShock Infinite,94
28,28,                                        PlayStation 3,action,Call of Duty: Modern Warfare 2,94
29,29,                                        iOS,action,Flipping Legend,94
30,30,                                        PlayStation 3,action,Call of Duty 4: Modern Warfare,94
31,31,                                        iOS,action,iBlast Moki,94
32,32,                                        Xbox One,action,Celeste,94
33,33,                                        PlayStation 3,action,BioShock,94
34,34,                                        iOS,action,N.O.V.A. - Near Orbit Vanguard Alliance,94
35,35,                                        iOS,action,Anomaly: Warzone Earth,94
36,36,                                        Xbox 360,action,Gears of War,94
37,37,                                        PC,action,Quake,94
38,38,                                        Xbox 360,action,Call of Duty 4: Modern Warfare,94
39,39,                                        PC,action,BioShock Infinite,94
40,40,                                        iOS,action,Jet Car Stunts,94
41,41,                                        iOS,action,Geometry Wars 3: Dimensions,94
42,42,                                        Xbox 360,action,Halo 3,94
43,43,                                        PlayStation 3,action,Street Fighter IV,94
44,44,                                        Dreamcast,action,Jet Grind Radio,94
45,45,                                        Game Boy Advance,action,Super Mario Advance 4: Super Mario Bros. 3,94
46,46,                                        iOS,action,Real Racing 2,94
47,47,                                        Xbox 360,action,Call of Duty: Modern Warfare 2,94
48,48,                                        PlayStation 2,action,Virtua Fighter 4,94
49,49,                                        Nintendo 64,action,Super Mario 64,94
50,50,                                        Wii,action,Super Smash Bros. Brawl,93
51,51,                                        iOS,action,The Binding of Isaac: Rebirth,93
52,52,                                        Xbox 360,action,Pac-Man Championship Edition DX,93
53,53,                                        PlayStation,action,Street Fighter Alpha 3,93
