,platform,genre,title,score
0,                                        iOS,adventure,Super QuickHook,96
1,                                        PlayStation 3,adventure,The Last of Us,95
2,                                        iOS,adventure,N.O.V.A. - Near Orbit Vanguard Alliance,94
3,                                        PC,adventure,Grim Fandango,94
4,                                        PlayStation 3,adventure,The Walking Dead: A Telltale Games Series,94
5,                                        iOS,adventure,Monkey Island 2 Special Edition: LeChuck's Revenge for iPad,93
6,                                        Xbox 360,adventure,Pac-Man Championship Edition DX,93
7,                                        PC,adventure,Minecraft,93
8,                                        iOS,adventure,Glyder 2,93
9,                                        iOS,adventure,Contre Jour HD,93
10,                                        Xbox One,adventure,What Remains of Edith Finch,92
11,                                        iOS,adventure,"Papers, Please",92
12,                                        Xbox 360,adventure,The Walking Dead: A Telltale Games Series,92
13,                                        PlayStation 3,adventure,Journey,92
14,                                        iOS,adventure,DEVICE 6,92
15,                                        PlayStation 3,adventure,Pac-Man Championship Edition DX,91
16,                                        iOS,adventure,Broken Sword: Director's Cut,91
17,                                        PC,adventure,Kentucky Route Zero - Act III,91
18,                                        PC,adventure,The Longest Journey,91
19,                                        iOS,adventure,Her Story,91
20,                                        PlayStation Vita,adventure,Broken Age,90
21,                                        iOS,adventure,Grand Theft Auto: Chinatown Wars HD,90
22,                                        iOS,adventure,Modern Combat 2: Black Pegasus,90
23,                                        iOS,adventure,Sorcery! 3,90
24,                                        iOS,adventure,Windosill,90
25,                                        iOS,adventure,Tales From The Borderlands: Episode 1 - Zer0 Sum,90
26,                                        Switch,adventure,Florence,90
27,                                        iOS,adventure,The Last Express,90
28,                                        Xbox 360,adventure,Mark of the Ninja,90
29,                                        iOS,adventure,N.O.V.A. 2 - Near Orbit Vanguard Alliance,90
30,                                        iOS,adventure,Pizza Vs. Skeletons,90
31,                                        PlayStation 4,adventure,Tales From The Borderlands: Episode 5 - The Vault of the Traveler,90
32,                                        PC,adventure,Kentucky Route Zero - Act IV,90
33,                                        iOS,adventure,Bug Heroes,89
34,                                        PC,adventure,The Walking Dead: A Telltale Games Series,89
35,                                        PC,adventure,There is no game : Wrong dimension,89
36,                                        PC,adventure,The Walking Dead: Episode 5 - No Time Left,89
37,                                        PlayStation 3,adventure,L.A. Noire,89
38,                                        iOS,adventure,The Journey Down: Chapter Two,89
39,                                        iOS,adventure,Astrologaster,89
40,                                        iOS,adventure,SQUIDS Wild West,89
41,                                        PC,adventure,The Curse of Monkey Island,89
42,                                        iOS,adventure,Mirror's Edge,89
43,                                        Xbox 360,adventure,The Walking Dead: Episode 5 - No Time Left,89
44,                                        iOS,adventure,Sorcery! 4,89
45,                                        PC,adventure,Return of the Obra Dinn,89
46,                                        Xbox 360,adventure,L.A. Noire,89
47,                                        PlayStation 4,adventure,Minecraft: PlayStation 4 Edition,89
48,                                        PC,adventure,What Remains of Edith Finch,89
49,                                        iOS,adventure,Alto's Odyssey,88
50,                                        iOS,adventure,Botanicula,88
51,                                        PlayStation 4,adventure,What Remains of Edith Finch,88
52,                                        3DS,adventure,Zero Escape: Virtue's Last Reward,88
53,                                        iOS,adventure,80 Days,88
54,                                        Xbox 360,adventure,The Secret of Monkey Island: Special Edition,88
55,                                        Switch,adventure,A Short Hike,88
56,                                        PlayStation Vita,adventure,Machinarium,88
57,                                        Xbox One,adventure,Minecraft: Xbox One Edition,88
58,                                        Switch,adventure,What Remains of Edith Finch,88
59,                                        iOS,adventure,The Room Two,88
60,                                        PC,adventure,Thirty Flights of Loving,88
61,                                        Switch,adventure,Gone Home,88
62,                                        Xbox 360,adventure,The Walking Dead: Episode 3 - Long Road Ahead,88
63,                                        PC,adventure,The Stanley Parable,88
64,                                        PlayStation 4,adventure,Batman: The Enemy Within - Episode 5: Same Stitch,88
65,                                        iOS,adventure,Machinarium,88
66,                                        iOS,adventure,Modern Combat 3: Fallen Nation,88
67,                                        iOS,adventure,Dead Space,88
68,                                        PlayStation 4,adventure,Keep Talking and Nobody Explodes,88
69,                                        Xbox One,adventure,Tales from the Borderlands: A Telltale Game Series,88
