,platform,genre,title,score
0,                                        Dreamcast,fighting,SoulCalibur,98
1,                                        PlayStation,fighting,Tekken 3,96
2,                                        PlayStation 3,fighting,Street Fighter IV,94
3,                                        PlayStation 2,fighting,Virtua Fighter 4,94
4,                                        Wii,fighting,Super Smash Bros. Brawl,93
5,                                        PlayStation,fighting,Street Fighter Alpha 3,93
6,                                        Xbox 360,fighting,Street Fighter IV,93
7,                                        GameCube,fighting,SoulCalibur II,93
8,                                        PlayStation 2,fighting,Virtua Fighter 4: Evolution,93
9,                                        PlayStation 2,fighting,SoulCalibur II,92
10,                                        PlayStation 3,fighting,Super Street Fighter IV,92
11,                                        GameCube,fighting,Super Smash Bros. Melee,92
12,                                        Xbox,fighting,SoulCalibur II,92
13,                                        Wii U,fighting,Super Smash Bros. for Wii U,92
14,                                        Xbox 360,fighting,Super Street Fighter IV,91
15,                                        PlayStation 2,fighting,DOA2: Hardcore,91
16,                                        PC,fighting,Street Fighter IV,91
17,                                        Dreamcast,fighting,Marvel vs. Capcom 2,90
18,                                        PlayStation,fighting,WWF SmackDown! 2: Know Your Role,90
19,                                        PlayStation,fighting,Tekken 2,89
20,                                        Nintendo 64,fighting,WWF No Mercy,89
21,                                        iOS,fighting,Infinity Blade II,89
22,                                        Xbox 360,fighting,Virtua Fighter 5 Online,89
23,                                        Dreamcast,fighting,Ultimate Fighting Championship,88
24,                                        PlayStation 2,fighting,Tekken 5,88
25,                                        Xbox 360,fighting,Super Street Fighter II Turbo HD Remix,88
26,                                        Xbox 360,fighting,Mortal Kombat Komplete Edition,88
27,                                        PSP,fighting,Tekken: Dark Resurrection,88
28,                                        PlayStation 3,fighting,Super Street Fighter II Turbo HD Remix,87
29,                                        PlayStation 3,fighting,BlazBlue: Calamity Trigger,87
30,                                        Dreamcast,fighting,Power Stone 2,87
31,                                        iOS,fighting,Infinity Blade,87
32,                                        Xbox,fighting,Dead or Alive 3,87
33,                                        PlayStation 3,fighting,BlazBlue: Continuum Shift,87
34,                                        PlayStation 2,fighting,Guilty Gear X2,87
35,                                        PlayStation 3,fighting,UFC Undisputed 3,86
36,                                        Xbox 360,fighting,BlazBlue: Calamity Trigger,86
37,                                        Xbox,fighting,Guilty Gear X2 #Reload,86
38,                                        Xbox 360,fighting,Mortal Kombat,86
39,                                        PlayStation 2,fighting,SoulCalibur III,86
40,                                        Xbox 360,fighting,Street Fighter III: Third Strike Online Edition,86
41,                                        PlayStation 3,fighting,Street Fighter III: Third Strike Online Edition,86
42,                                        Dreamcast,fighting,Fatal Fury: Mark of the Wolves,86
43,                                        PlayStation 3,fighting,Persona 4 Arena,86
44,                                        PlayStation 3,fighting,UFC Undisputed 2010,85
45,                                        Wii,fighting,Tatsunoko vs. Capcom: Ultimate All-Stars,85
46,                                        3DS,fighting,Super Street Fighter IV: 3D Edition,85
47,                                        PlayStation 2,fighting,Tekken Tag Tournament,85
48,                                        Xbox 360,fighting,BlazBlue: Continuum Shift,85
49,                                        Xbox 360,fighting,Dead or Alive 4,85
50,                                        PlayStation 3,fighting,SoulCalibur IV,85
51,                                        Xbox 360,fighting,SoulCalibur IV,85
52,                                        3DS,fighting,Super Smash Bros. for Nintendo 3DS,85
53,                                        PlayStation 2,fighting,WWE SmackDown! Here Comes the Pain,85
54,                                        Xbox 360,fighting,Marvel vs. Capcom 3: Fate of Two Worlds,85
55,                                        PlayStation 3,fighting,Virtua Fighter 5,85
56,                                        Xbox 360,fighting,UFC Undisputed 3,85
57,                                        PlayStation 3,fighting,Marvel vs. Capcom 2,85
58,                                        PlayStation Vita,fighting,Mortal Kombat,85
59,                                        Dreamcast,fighting,Street Fighter III: Double Impact,84
60,                                        PlayStation 3,fighting,Street Fighter X Tekken,84
61,                                        Game Boy Advance,fighting,Super Street Fighter II: Turbo Revival,84
62,                                        Xbox 360,fighting,UFC Undisputed 2010,84
63,                                        PC,fighting,Super Street Fighter IV: Arcade Edition,84
64,                                        PlayStation 3,fighting,Marvel vs. Capcom 3: Fate of Two Worlds,84
65,                                        PlayStation 3,fighting,Mortal Kombat,84
66,                                        PlayStation,fighting,Dead or Alive,84
67,                                        iOS,fighting,Street Fighter IV,84
68,                                        Dreamcast,fighting,Street Fighter III: 3rd Strike,84
69,                                        Xbox,fighting,Def Jam: Fight for NY,84
70,                                        Xbox 360,fighting,Ultra Street Fighter IV,84
71,                                        PlayStation 3,fighting,UFC Undisputed 2009,84
72,                                        PlayStation 2,fighting,WWE SmackDown! vs. Raw 2006,84
73,                                        PlayStation 3,fighting,BlazBlue: Chrono Phantasma,83
74,                                        PlayStation 3,fighting,Ultra Street Fighter IV,83
75,                                        Xbox 360,fighting,Street Fighter X Tekken,83
76,                                        PlayStation,fighting,Bushido Blade,83
77,                                        Xbox 360,fighting,Persona 4 Arena,83
78,                                        Wii U,fighting,Tekken Tag Tournament 2: Wii U Edition,83
79,                                        DS,fighting,Bleach: The Blade of Fate,83
80,                                        Xbox 360,fighting,UFC Undisputed 2009,83
81,                                        Game Boy Advance,fighting,Street Fighter Alpha 3,83
82,                                        Xbox 360,fighting,Tekken Tag Tournament 2,83
83,                                        PC,fighting,Skullgirls,83
84,                                        PlayStation 2,fighting,Def Jam: Fight for NY,83
85,                                        PlayStation Vita,fighting,BlazBlue: Continuum Shift Extend,83
86,                                        iOS,fighting,The King of Fighters-i 002,82
87,                                        Wii U,fighting,Injustice: Gods Among Us,82
88,                                        PlayStation 2,fighting,WWE SmackDown! Shut Your Mouth,82
89,                                        Xbox 360,fighting,Darkstalkers Resurrection,82
90,                                        PlayStation 3,fighting,Skullgirls,82
91,                                        PlayStation 3,fighting,Tekken Tag Tournament 2,82
92,                                        PlayStation 3,fighting,Virtua Fighter 5 Final Showdown,82
93,                                        PC,fighting,Ultra Street Fighter IV,82
94,                                        Game Boy Advance,fighting,Tekken Advance,82
95,                                        Xbox 360,fighting,Marvel vs. Capcom 2,82
