,platform,genre,title,score
0,                                        Nintendo 64,first-person,Perfect Dark,97
1,                                        GameCube,first-person,Metroid Prime,97
2,                                        Xbox,first-person,Halo: Combat Evolved,97
3,                                        PC,first-person,Half-Life 2,96
4,                                        Xbox 360,first-person,BioShock,96
5,                                        Nintendo 64,first-person,GoldenEye 007,96
6,                                        Xbox 360,first-person,The Orange Box,96
7,                                        PC,first-person,The Orange Box,96
8,                                        Xbox 360,first-person,The Elder Scrolls V: Skyrim,96
9,                                        PC,first-person,Half-Life,96
10,                                        PC,first-person,BioShock,96
11,                                        Xbox,first-person,Halo 2,95
12,                                        PC,first-person,Portal 2,95
13,                                        Xbox 360,first-person,Portal 2,95
14,                                        PlayStation 3,first-person,Portal 2,95
15,                                        PC,first-person,The Elder Scrolls V: Skyrim,94
16,                                        PlayStation 3,first-person,BioShock Infinite,94
17,                                        PlayStation 3,first-person,Call of Duty: Modern Warfare 2,94
18,                                        PlayStation 3,first-person,Call of Duty 4: Modern Warfare,94
19,                                        PlayStation 3,first-person,BioShock,94
20,                                        iOS,first-person,N.O.V.A. - Near Orbit Vanguard Alliance,94
21,                                        Xbox 360,first-person,The Elder Scrolls IV: Oblivion,94
22,                                        PC,first-person,Quake,94
23,                                        Xbox 360,first-person,Call of Duty 4: Modern Warfare,94
24,                                        PC,first-person,BioShock Infinite,94
25,                                        Xbox 360,first-person,Halo 3,94
26,                                        PC,first-person,The Elder Scrolls IV: Oblivion,94
27,                                        Xbox 360,first-person,Call of Duty: Modern Warfare 2,94
28,                                        PC,first-person,Half-Life: Alyx,93
29,                                        PC,first-person,Unreal Tournament 2004,93
30,                                        Xbox 360,first-person,BioShock Infinite,93
31,                                        PC,first-person,Minecraft,93
32,                                        Dreamcast,first-person,Quake III Arena,93
33,                                        PlayStation 3,first-person,The Elder Scrolls IV: Oblivion,93
34,                                        Xbox 360,first-person,Fallout 3,93
35,                                        PlayStation 3,first-person,The Elder Scrolls V: Skyrim,92
36,                                        PC,first-person,Call of Duty 4: Modern Warfare,92
37,                                        Xbox One,first-person,What Remains of Edith Finch,92
38,                                        PC,first-person,Team Fortress 2,92
39,                                        PC,first-person,Unreal Tournament (1999),92
40,                                        PlayStation,first-person,Medal of Honor,92
41,                                        GameCube,first-person,Metroid Prime 2: Echoes,92
42,                                        PC,first-person,Medal of Honor: Allied Assault,91
43,                                        Wii,first-person,Metroid Prime Trilogy,91
44,                                        PC,first-person,Overwatch,91
45,                                        PC,first-person,Halo: The Master Chief Collection - Halo 3: ODST,91
46,                                        Xbox One,first-person,Overwatch,91
47,                                        PlayStation 3,first-person,Borderlands 2,91
48,                                        PC,first-person,Crysis,91
49,                                        PC,first-person,Star Wars Jedi Knight: Dark Forces II,91
50,                                        Xbox 360,first-person,Halo: Reach,91
51,                                        PC,first-person,The Operative: No One Lives Forever,91
52,                                        PC,first-person,Battlefield 2,91
53,                                        PC,first-person,Fallout 3,91
54,                                        PlayStation 3,first-person,Killzone 2,91
55,                                        PC,first-person,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,91
56,                                        Xbox 360,first-person,Far Cry 3,91
57,                                        PC,first-person,Call of Duty,91
58,                                        Xbox,first-person,Half-Life 2,90
59,                                        PlayStation 4,first-person,Overwatch,90
60,                                        PlayStation 3,first-person,Far Cry 3,90
61,                                        Xbox 360,first-person,Tom Clancy's Ghost Recon Advanced Warfighter,90
62,                                        PC,first-person,Return to Castle Wolfenstein: Enemy Territory,90
63,                                        PlayStation 3,first-person,Fallout 3,90
64,                                        PC,first-person,F.E.A.R. Combat,90
65,                                        PC,first-person,Portal,90
66,                                        iOS,first-person,Modern Combat 2: Black Pegasus,90
67,                                        Dreamcast,first-person,Unreal Tournament,90
68,                                        PC,first-person,Metro: 2033 Redux,90
69,                                        Xbox 360,first-person,Portal: Still Alive,90
70,                                        PC,first-person,Half-Life 2: Episode Two,90
71,                                        PC,first-person,The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,90
72,                                        iOS,first-person,N.O.V.A. 2 - Near Orbit Vanguard Alliance,90
73,                                        PC,first-person,Deus Ex: Human Revolution,90
74,                                        Wii,first-person,Metroid Prime 3: Corruption,90
75,                                        PlayStation 2,first-person,TimeSplitters 2,90
76,                                        PC,first-person,Star Wars Jedi Knight II: Jedi Outcast,89
77,                                        Xbox,first-person,Halo 2 Multiplayer Map Pack,89
78,                                        Xbox 360,first-person,Borderlands 2,89
79,                                        Xbox One,first-person,Call of Duty: Modern Warfare Remastered,89
80,                                        Xbox 360,first-person,Call of Duty 2,89
81,                                        PC,first-person,The Elder Scrolls III: Morrowind,89
82,                                        PC,first-person,Fallout,89
83,                                        iOS,first-person,Mirror's Edge for iPad,89
84,                                        Xbox 360,first-person,Left 4 Dead 2,89
85,                                        Xbox 360,first-person,Left 4 Dead,89
86,                                        PC,first-person,Left 4 Dead,89
87,                                        PC,first-person,Left 4 Dead 2,89
88,                                        PlayStation 4,first-person,Titanfall 2,89
89,                                        PC,first-person,Borderlands 2,89
90,                                        PlayStation 3,first-person,Deus Ex: Human Revolution,89
91,                                        PC,first-person,Duke Nukem 3D,89
92,                                        PlayStation 3,first-person,L.A. Noire,89
93,                                        PC,first-person,Far Cry,89
94,                                        PC,first-person,Descent 3,89
95,                                        PC,first-person,Descent II,89
96,                                        PlayStation 4,first-person,Apex Legends,89
97,                                        PC,first-person,Battlefield 3,89
98,                                        PC,first-person,Battlefield 1942,89
99,                                        Xbox 360,first-person,Deus Ex: Human Revolution,89
100,                                        Xbox,first-person,The Chronicles of Riddick: Escape From Butcher Bay,89
101,                                        PC,first-person,Return of the Obra Dinn,89
102,                                        Xbox 360,first-person,L.A. Noire,89
103,                                        PlayStation 4,first-person,Battlefield 1,89
104,                                        PlayStation 3,first-person,The Orange Box,89
105,                                        Xbox One,first-person,Destiny: The Taken King,89
106,                                        PlayStation 4,first-person,Minecraft: PlayStation 4 Edition,89
107,                                        PC,first-person,What Remains of Edith Finch,89
108,                                        PC,first-person,DUSK,88
109,                                        Xbox 360,first-person,Call of Duty: Modern Warfare 3,88
110,                                        PlayStation 4,first-person,What Remains of Edith Finch,88
111,                                        Xbox,first-person,Brothers in Arms: Road to Hill 30,88
112,                                        PlayStation 2,first-person,Medal of Honor Frontline,88
113,                                        Xbox One,first-person,Wolfenstein II: The New Colossus,88
114,                                        PC,first-person,F.E.A.R.,88
115,                                        Xbox 360,first-person,BioShock 2,88
116,                                        PC,first-person,Tribes 2,88
117,                                        Xbox 360,first-person,Tom Clancy's Rainbow Six Vegas,88
118,                                        PlayStation 3,first-person,Battlefield: Bad Company 2,88
119,                                        PC,first-person,Far Cry 3,88
120,                                        Xbox One,first-person,DOOM Eternal,88
121,                                        Xbox 360,first-person,Battlefield: Bad Company 2,88
122,                                        PlayStation 2,first-person,Red Faction,88
123,                                        GameCube,first-person,TimeSplitters 2,88
124,                                        Xbox One,first-person,Minecraft: Xbox One Edition,88
125,                                        Switch,first-person,What Remains of Edith Finch,88
126,                                        PC,first-person,Halo: The Master Chief Collection - Halo 3,88
127,                                        PlayStation 3,first-person,Call of Duty: Black Ops,88
128,                                        PC,first-person,Return to Castle Wolfenstein,88
129,                                        PC,first-person,Shogo: Mobile Armor Division,88
130,                                        iOS,first-person,The Room Two,88
131,                                        PC,first-person,Thirty Flights of Loving,88
132,                                        Switch,first-person,Gone Home,88
133,                                        PC,first-person,Apex Legends,88
134,                                        Xbox,first-person,Doom 3,88
135,                                        PC,first-person,The Stanley Parable,88
136,                                        PlayStation 3,first-person,BioShock 2,88
137,                                        PC,first-person,BioShock 2,88
138,                                        PC,first-person,Counter-Strike: Source,88
139,                                        iOS,first-person,Modern Combat 3: Fallen Nation,88
140,                                        PC,first-person,Battlefield 1,88
141,                                        PlayStation 3,first-person,Battlefield: Bad Company 2 Vietnam,88
142,                                        PlayStation 3,first-person,Call of Duty: Modern Warfare 3,88
143,                                        Xbox One,first-person,Apex Legends,88
144,                                        PC,first-person,DOOM Eternal,88
145,                                        PC,first-person,Observer: System Redux,88
146,                                        PlayStation 4,first-person,Keep Talking and Nobody Explodes,88
147,                                        PC,first-person,Counter-Strike,88
148,                                        Xbox,first-person,TimeSplitters 2,88
149,                                        PlayStation 4,first-person,The Talos Principle: Deluxe Edition,88
150,                                        Xbox 360,first-person,Battlefield: Bad Company 2 Vietnam,88
151,                                        iOS,first-person,N.O.V.A. 2 - Near Orbit Vanguard Alliance HD,88
152,                                        iOS,first-person,The Witness,88
153,                                        PC,first-person,DOOM 3,87
154,                                        Xbox 360,first-person,Halo 4,87
155,                                        iOS,first-person,Year Walk,87
156,                                        PlayStation 4,first-person,The Witness,87
157,                                        Xbox One,first-person,DOOM,87
158,                                        Xbox One,first-person,Battlefield 1,87
159,                                        PC,first-person,Battlefield: Bad Company 2,87
160,                                        PC,first-person,Steins;Gate,87
161,                                        PC,first-person,Half-Life 2: Episode One,87
162,                                        PC,first-person,Year Walk,87
163,                                        PC,first-person,Battlefield 3: Armored Kill,87
164,                                        PC,first-person,Borderlands 2: Tiny Tina's Assault on Dragon Keep,87
165,                                        Xbox 360,first-person,Call of Duty: Black Ops,87
166,                                        PC,first-person,The Witness,87
167,                                        PC,first-person,Brothers in Arms: Road to Hill 30,87
168,                                        PC,first-person,Raw Data,87
169,                                        PlayStation 4,first-person,DOOM Eternal,87
170,                                        Xbox One,first-person,Titanfall 2,87
171,                                        PC,first-person,Serious Sam: The First Encounter,87
172,                                        PlayStation 4,first-person,Wolfenstein II: The New Colossus,87
173,                                        PC,first-person,Call of Duty: United Offensive,87
174,                                        Xbox One,first-person,Destiny 2,87
175,                                        PlayStation 3,first-person,Resistance 2,87
176,                                        Switch,first-person,Firewatch,87
177,                                        PlayStation 2,first-person,Half-Life,87
178,                                        PlayStation 3,first-person,Unreal Tournament III,86
179,                                        Xbox One,first-person,The Witness,86
180,                                        PC,first-person,Gone Home,86
181,                                        Xbox 360,first-person,The Elder Scrolls IV: Shivering Isles,86
182,                                        PC,first-person,Fallout 2,86
183,                                        PC,first-person,Borderlands: The Secret Armory of General Knoxx,86
184,                                        PC,first-person,Call of Duty 2,86
185,                                        PlayStation 3,first-person,Resistance: Fall of Man,86
186,                                        Xbox One,first-person,Titanfall,86
187,                                        PC,first-person,Tribes: Ascend,86
188,                                        PC,first-person,Titanfall,86
189,                                        Xbox 360,first-person,Borderlands 2: Tiny Tina's Assault on Dragon Keep,86
190,                                        PC,first-person,Crysis 2,86
191,                                        PC,first-person,Call of Duty: Modern Warfare 2,86
192,                                        PC,first-person,Wolfenstein II: The New Colossus,86
193,                                        PC,first-person,Star Trek: Voyager Elite Force,86
194,                                        PlayStation,first-person,Medal of Honor Underground,86
195,                                        Xbox One,first-person,Destiny 2: Forsaken,86
196,                                        PlayStation 3,first-person,Minecraft: PlayStation 3 Edition,86
197,                                        PC,first-person,Unreal Tournament 2003,86
198,                                        Xbox,first-person,Tom Clancy's Rainbow Six 3,86
199,                                        Xbox 360,first-person,Tom Clancy's Ghost Recon Advanced Warfighter 2,86
200,                                        Xbox 360,first-person,The Elder Scrolls IV - Knights of the Nine,86
201,                                        PC,first-person,PlayerUnknown's Battlegrounds,86
202,                                        PlayStation 3,first-person,Battlefield 3: End Game,86
203,                                        Xbox One,first-person,Observer,86
204,                                        Switch,first-person,Return of the Obra Dinn,86
205,                                        PC,first-person,Titanfall 2,86
206,                                        PC,first-person,Battlefield 3: Back to Karkand,86
207,                                        PlayStation 4,first-person,Destiny: The Taken King,86
208,                                        PlayStation 3,first-person,Tom Clancy's Rainbow Six Vegas,86
209,                                        Nintendo 64,first-person,Turok 2: Seeds of Evil,86
210,                                        Switch,first-person,Metro: Last Light Redux,86
211,                                        Switch,first-person,Metro: 2033 Redux,86
212,                                        PC,first-person,Battlefield: Bad Company 2 Vietnam,86
213,                                        PC,first-person,Call of Duty: Modern Warfare Remastered,86
214,                                        PC,first-person,The Elder Scrolls IV: Shivering Isles,86
215,                                        PC,first-person,The Talos Principle,85
216,                                        DS,first-person,Metroid Prime: Hunters,85
217,                                        iOS,first-person,Shadowgun Legends,85
218,                                        PC,first-person,Deep Rock Galactic,85
219,                                        PC,first-person,Tom Clancy's Rainbow Six,85
220,                                        PC,first-person,Legend of Grimrock II,85
221,                                        Xbox,first-person,Unreal Championship 2: The Liandri Conflict,85
222,                                        Xbox 360,first-person,Call of Duty: Modern Warfare 3 - Collection 1,85
223,                                        PlayStation 4,first-person,Battlefield 4,85
224,                                        Xbox One,first-person,Firewatch,85
225,                                        PC,first-person,Tom Clancy's Rainbow Six: Vegas,85
226,                                        PC,first-person,Clive Barker's Undying,85
227,                                        PC,first-person,SWAT 4,85
228,                                        PlayStation 4,first-person,DOOM,85
229,                                        Xbox,first-person,Far Cry Instincts,85
230,                                        PlayStation 3,first-person,Battlefield 3,85
231,                                        Xbox One,first-person,Call of Duty: Black Ops 4,85
232,                                        PC,first-person,Aliens Versus Predator 2,85
233,                                        PC,first-person,Wizardry 8,85
234,                                        PC,first-person,Operation Flashpoint: Cold War Crisis,85
235,                                        PlayStation 3,first-person,Crysis 2,85
236,                                        PlayStation 3,first-person,Borderlands 2: Captain Scarlett and Her Pirate's Booty,85
237,                                        PC,first-person,America's Army: Special Forces,85
238,                                        PlayStation 3,first-person,Call of Duty: World at War,85
239,                                        PC,first-person,Far Cry 2,85
240,                                        PC,first-person,Battlefield 3: Aftermath,85
241,                                        PlayStation 4,first-person,Destiny 2,85
