,platform,genre,title,score
0,                                        PC,flight,Microsoft Flight Simulator,91
1,                                        PC,flight,IL-2 Sturmovik,91
2,                                        iOS,flight,Jetpack Joyride,90
3,                                        PC,flight,Falcon 4.0: Allied Force,90
4,                                        PC,flight,Flight Simulator 2002,90
5,                                        PlayStation 2,flight,Ace Combat 04: Shattered Skies,89
6,                                        PC,flight,Microsoft Flight Simulator 2004: A Century of Flight,88
7,                                        PC,flight,FirePower for Microsoft Combat Flight Simulator 3,88
8,                                        Xbox,flight,Crimson Skies: High Road to Revenge,88
9,                                        PC,flight,DCS: A-10C Warthog,87
10,                                        PC,flight,Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,86
11,                                        PC,flight,IL-2 Sturmovik: Forgotten Battles,86
12,                                        iOS,flight,Sky Gamblers: Rise Of Glory,86
13,                                        PC,flight,IL-2 Sturmovik: 1946,86
14,                                        iOS,flight,Air Mail,85
15,                                        PC,flight,Falcon 4.0,85
16,                                        PC,flight,IL-2 Sturmovik: Forgotten Battles - Ace,85
17,                                        PC,flight,Flanker 2.5,84
18,                                        PlayStation 2,flight,Ace Combat 5: The Unsung War,84
19,                                        PlayStation 3,flight,Warhawk,84
20,                                        PC,flight,Xtreme Air Racing,83
21,                                        PC,flight,Wings of Power: WWII Heavy Bombers and Jets,83
22,                                        PC,flight,Combat Flight Simulator 2: WWII Pacific Theater,83
23,                                        PlayStation 3,flight,Warhawk - Operation: Fallen Star,83
24,                                        PlayStation 3,flight,Warhawk - Operation: Broken Mirror,83
25,                                        PC,flight,Fighter Ace 3.5,83
26,                                        PC,flight,Crimson Skies,83
27,                                        PlayStation,flight,Ace Combat 2,83
28,                                        iOS,flight,Tom Clancy's H.A.W.X,82
29,                                        PC,flight,X-Plane 8,82
30,                                        PC,flight,Flight Simulator X: Acceleration,82
31,                                        PC,flight,DCS: Black Shark,82
32,                                        PC,flight,B-17 Flying Fortress: The Mighty 8th,82
33,                                        PC,flight,War Thunder,81
34,                                        PlayStation 3,flight,IL-2 Sturmovik: Birds of Prey,81
35,                                        PC,flight,Flanker 2.0,81
36,                                        PlayStation 2,flight,Secret Weapons Over Normandy,81
37,                                        Xbox 360,flight,Ace Combat 6: Fires of Liberation,80
38,                                        Xbox 360,flight,IL-2 Sturmovik: Birds of Prey,80
