,platform,genre,title,score
0,                                        GameCube,party,Super Monkey Ball 2,87
1,                                        GameCube,party,Super Monkey Ball,87
2,                                        Wii,party,WarioWare: Smooth Moves,83
3,                                        Xbox 360,party,Kinect Party,81
4,                                        Xbox,party,Super Monkey Ball Deluxe,81
5,                                        Nintendo 64,party,Mario Party,79
6,                                        Wii,party,Disney Guilty Party,78
7,                                        PlayStation 2,party,Super Monkey Ball Deluxe,78
8,                                        Wii U,party,Nintendo Land,77
9,                                        Wii,party,Rayman Raving Rabbids,76
10,                                        Xbox 360,party,Age of Booty,76
11,                                        Wii U,party,Spin the Bottle: Bumpie's Party,75
12,                                        Wii,party,Super Monkey Ball: Banana Blitz,74
13,                                        PlayStation 3,party,Age of Booty,74
14,                                        Nintendo 64,party,Mario Party 3,74
15,                                        Wii,party,WarioWare D.I.Y. Showcase,73
16,                                        Wii,party,Mario Party 9,73
17,                                        Wii,party,Rayman Raving Rabbids: TV Party,73
18,                                        DS,party,Mario Party DS,72
19,                                        PlayStation 2,party,Sega SuperStars,72
20,                                        GameCube,party,Mario Party 6,71
21,                                        PlayStation 2,party,Buzz! Junior: Monster Rumble,71
22,                                        Wii,party,Pictionary,71
23,                                        GameCube,party,Mario Party 4,70
24,                                        Wii,party,Let's TAP,70
25,                                        Xbox,party,Fuzion Frenzy,70
26,                                        GameCube,party,Mario Party 5,69
27,                                        PlayStation,party,Crash Bash,68
28,                                        Wii,party,Wii Party,68
29,                                        PC,party,"SpongeBob SquarePants: Lights, Camera, Pants!",68
30,                                        Wii,party,Rayman Raving Rabbids 2,67
31,                                        PlayStation Vita,party,Super Monkey Ball: Banana Splitz,66
32,                                        PlayStation 3,party,Carnival Island,66
33,                                        GameCube,party,Monopoly Party!,65
34,                                        Wii U,party,Wii Party U,65
35,                                        GameCube,party,Mario Party 7,64
36,                                        Wii,party,Go Vacation,64
37,                                        Xbox 360,party,Apples to Apples,64
38,                                        DS,party,Super Monkey Ball: Touch & Roll,63
39,                                        Wii,party,Hasbro Family Game Night 2,63
40,                                        PlayStation,party,Rayman Rush,62
41,                                        Wii,party,Mario Party 8,62
42,                                        PlayStation 3,party,Pictionary: Ultimate Edition,62
43,                                        Wii U,party,Game & Wario,61
44,                                        PlayStation 2,party,Ape Escape: Pumped & Primed,61
45,                                        Wii,party,Wii Play: Motion,60
46,                                        GameCube,party,Rayman Arena,60
47,                                        PlayStation 2,party,"SpongeBob SquarePants: Lights, Camera, Pants!",59
48,                                        Wii,party,Pac-Man Party,59
49,                                        Xbox,party,Whacked!,59
50,                                        Wii,party,Wii Play,58
51,                                        Xbox 360,party,Raving Rabbids: Alive & Kicking,58
52,                                        3DS,party,Mario Party: Island Tour,57
53,                                        DS,party,Rayman Raving Rabbids 2,57
54,                                        Xbox,party,"SpongeBob SquarePants: Lights, Camera, Pants!",57
55,                                        Wii,party,Bomberman Land,57
56,                                        DS,party,Hasbro Family Game Night,57
57,                                        DS,party,LOL: Never Party Alone!,56
58,                                        Wii,party,Carnival Games,56
59,                                        PlayStation 3,party,Start the Party!,55
60,                                        PSP,party,Bomberman Land Portable,55
61,                                        Game Boy Advance,party,Mario Party Advance,54
62,                                        GameCube,party,Pac-Man Fever,54
63,                                        Dreamcast,party,Sonic Shuffle,54
64,                                        PlayStation 3,party,Yoostar 2: In The Movies,54
65,                                        DS,party,Faceez,53
66,                                        Wii,party,Namco Museum Megamix,53
67,                                        Xbox 360,party,Pictionary: Ultimate Edition,53
68,                                        Xbox 360,party,Hail to the Chimp,52
69,                                        Wii,party,Happy Hammerin',52
70,                                        Game Boy Advance,party,Cartoon Network Block Party,52
71,                                        Wii U,party,Rabbids Land,52
72,                                        PlayStation 3,party,Hail to the Chimp,51
73,                                        PSP,party,Ape Escape Academy,51
74,                                        PlayStation 2,party,Monopoly Party!,51
75,                                        PlayStation 3,party,Start the Party! Save the World,50
76,                                        Xbox 360,party,Yoostar 2: In The Movies,50
77,                                        Xbox,party,Monopoly Party!,50
78,                                        Xbox 360,party,Yoostar on MTV,49
79,                                        GameCube,party,Mary-Kate and Ashley: Sweet 16 - Licensed to Drive,49
80,                                        Game Boy Advance,party,All Grown Up! Express Yourself,49
81,                                        PlayStation 3,party,"Lights, Camera, Party!",49
82,                                        Wii,party,Toy Story Mania!,49
83,                                        Xbox 360,party,Fuzion Frenzy 2,49
84,                                        Wii,party,Neighborhood Games,49
85,                                        PlayStation 2,party,Pac-Man Fever,47
86,                                        Xbox 360,party,Hole in the Wall,47
87,                                        Game Boy Advance,party,Barbie Groovy Games,47
88,                                        PlayStation 2,party,My Street,46
89,                                        Wii,party,Drill Sergeant Mindstrong,46
90,                                        PlayStation 3,party,PlayStation Move Ape Escape,43
91,                                        3DS,party,Pac-Man Party 3D,43
92,                                        Wii,party,Furu Furu Park,43
93,                                        Wii,party,Family Party: 30 Great Games,42
94,                                        GameCube,party,Shrek: Super Party,40
95,                                        GameCube,party,Disney's Party,39
96,                                        Xbox 360,party,Wipeout: In the Zone,39
97,                                        GameCube,party,Universal Studios Theme Parks Adventure,39
98,                                        DS,party,Crash Boom Bang!,37
99,                                        Xbox 360,party,Rocky and Bullwinkle,37
100,                                        Wii,party,Wonder World Amusement Park,37
101,                                        Wii,party,Game Party 3,37
102,                                        Wii,party,Tamagotchi Party On!,37
103,                                        Xbox 360,party,Game Party: In Motion,33
104,                                        Xbox,party,Shrek: Super Party,33
105,                                        Xbox 360,party,Toy Story Mania!,33
106,                                        DS,party,Jenga World Tour,32
107,                                        PlayStation 2,party,Shrek: Super Party,30
108,                                        Wii,party,Game Party 2,29
109,                                        Xbox 360,party,Truth or Lies,28
110,                                        Wii,party,Calvin Tucker's Redneck Jamboree,26
111,                                        Wii,party,Game Party,25
112,                                        Wii U,party,Game Party Champions,24
113,                                        Xbox,party,Nickelodeon Party Blast,19
114,                                        Wii U,party,Family Party: 30 Great Games Obstacle Arcade,11
