,platform,genre,title,score
0,                                        Wii,platformer,Super Mario Galaxy,97
1,                                        Wii,platformer,Super Mario Galaxy 2,97
2,                                        PlayStation 3,platformer,LittleBigPlanet,95
3,                                        Dreamcast,platformer,Jet Grind Radio,94
4,                                        Game Boy Advance,platformer,Super Mario Advance 4: Super Mario Bros. 3,94
5,                                        Nintendo 64,platformer,Super Mario 64,94
6,                                        Xbox 360,platformer,Braid,93
7,                                        Wii U,platformer,Super Mario 3D World,93
8,                                        PlayStation,platformer,Castlevania: Symphony of the Night,93
9,                                        PlayStation 3,platformer,Braid,93
10,                                        iOS,platformer,Sonic CD,93
11,                                        3DS,platformer,Cave Story,93
12,                                        Nintendo 64,platformer,Banjo-Kazooie,92
13,                                        Game Boy Advance,platformer,Super Mario World: Super Mario Advance 2,92
14,                                        GameCube,platformer,Super Mario Sunshine,92
15,                                        PlayStation 3,platformer,Journey,92
16,                                        Nintendo 64,platformer,Conker's Bad Fur Day,92
17,                                        Wii,platformer,Rayman Origins,92
18,                                        Wii U,platformer,Rayman Legends,92
19,                                        iOS,platformer,Mikey Shorts,92
20,                                        PlayStation 3,platformer,LittleBigPlanet 2,91
21,                                        PlayStation Vita,platformer,Fez,91
22,                                        Xbox One,platformer,Rayman Legends,91
23,                                        PlayStation 2,platformer,Klonoa 2: Lunatea's Veil,91
24,                                        PlayStation 2,platformer,Ratchet & Clank: Up Your Arsenal,91
25,                                        PlayStation,platformer,Spyro: Year of the Dragon,91
26,                                        Game Boy Advance,platformer,Yoshi's Island: Super Mario Advance 3,91
27,                                        PC,platformer,Fez,91
28,                                        Game Boy Advance,platformer,Castlevania: Aria of Sorrow,91
29,                                        PlayStation 3,platformer,Rayman Legends,91
30,                                        PC,platformer,Mark of the Ninja,91
31,                                        Game Boy Advance,platformer,Castlevania: Circle of the Moon,91
32,                                        PlayStation,platformer,Crash Bandicoot 3: Warped,91
33,                                        Nintendo 64,platformer,Rayman 2: The Great Escape,90
34,                                        PlayStation,platformer,Ape Escape,90
35,                                        PlayStation 2,platformer,Ratchet & Clank: Going Commando,90
36,                                        PC,platformer,Spelunky,90
37,                                        iOS,platformer,Rolando 2: Quest for the Golden Orchid,90
38,                                        PlayStation 4,platformer,Rayman Legends,90
39,                                        PlayStation 2,platformer,Jak and Daxter: The Precursor Legacy,90
40,                                        Nintendo 64,platformer,Donkey Kong 64,90
41,                                        PlayStation 4,platformer,Fez,90
42,                                        PC,platformer,Braid,90
43,                                        3DS,platformer,Shovel Knight,90
44,                                        Xbox 360,platformer,LIMBO,90
45,                                        Xbox 360,platformer,Mark of the Ninja,90
46,                                        Xbox 360,platformer,Super Meat Boy,90
47,                                        3DS,platformer,Super Mario 3D Land,90
48,                                        Nintendo 64,platformer,Banjo-Tooie,90
49,                                        PlayStation 3,platformer,LIMBO,90
50,                                        Xbox 360,platformer,Rayman Legends,90
51,                                        PlayStation 2,platformer,Rayman 2 Revolution,90
52,                                        Game Boy Advance,platformer,Metroid: Zero Mission,89
53,                                        Wii U,platformer,Skylanders Swap Force,89
54,                                        Xbox 360,platformer,Castlevania: Symphony of the Night,89
55,                                        Xbox 360,platformer,Fez,89
56,                                        Wii,platformer,Cave Story,89
57,                                        DS,platformer,Castlevania: Dawn of Sorrow,89
58,                                        Dreamcast,platformer,Sonic Adventure 2,89
59,                                        PlayStation Vita,platformer,LIMBO,89
60,                                        PlayStation 3,platformer,Ratchet & Clank Future: Tools of Destruction,89
61,                                        DS,platformer,New Super Mario Bros.,89
62,                                        PC,platformer,Rayman Legends,89
63,                                        PlayStation Vita,platformer,Spelunky,88
64,                                        PC,platformer,LIMBO,88
65,                                        Xbox,platformer,Psychonauts,88
66,                                        Wii U,platformer,Shovel Knight,88
67,                                        PlayStation Vita,platformer,Rayman Origins,88
68,                                        PlayStation 2,platformer,Ratchet & Clank,88
69,                                        Xbox,platformer,JSRF: Jet Set Radio Future,88
70,                                        Game Boy Advance,platformer,Wario Land 4,88
71,                                        PlayStation 2,platformer,Sly 2: Band of Thieves,88
72,                                        PC,platformer,Guacamelee! Gold Edition,88
73,                                        iOS,platformer,Rayman Jungle Run,88
74,                                        PlayStation Vita,platformer,LittleBigPlanet PS Vita,88
75,                                        PlayStation,platformer,Oddworld: Abe's Exoddus,88
76,                                        PC,platformer,Super Meat Boy,87
77,                                        PC,platformer,Oddworld: Abe's Oddysee - New 'n' Tasty,87
78,                                        PlayStation Vita,platformer,Guacamelee!,87
79,                                        Wii,platformer,La-Mulana,87
80,                                        PC,platformer,The Swapper,87
81,                                        Game Boy Advance,platformer,Castlevania: Harmony of Dissonance,87
82,                                        PlayStation 2,platformer,Jak II,87
83,                                        Wii,platformer,New Super Mario Bros. Wii,87
84,                                        PlayStation Vita,platformer,Rayman Legends,87
85,                                        Wii,platformer,Donkey Kong Country Returns,87
86,                                        PlayStation 3,platformer,Bionic Commando Rearmed,87
87,                                        PlayStation 3,platformer,Rayman Origins,87
88,                                        PC,platformer,Psychonauts,87
89,                                        Xbox 360,platformer,Rayman Origins,87
90,                                        Xbox 360,platformer,Spelunky,87
91,                                        PSP,platformer,LittleBigPlanet,87
92,                                        PlayStation 3,platformer,Ratchet & Clank Future: A Crack in Time,87
93,                                        Game Boy Advance,platformer,Sonic Advance,87
94,                                        Wii,platformer,LostWinds: Winter of the Melodias,86
95,                                        Wii,platformer,Kirby's Epic Yarn,86
96,                                        DS,platformer,Kirby: Canvas Curse,86
97,                                        iOS,platformer,Karoshi,86
98,                                        iOS,platformer,LostWinds2: Winter of the Melodias,86
99,                                        PSP,platformer,Patapon,86
100,                                        Wii,platformer,Fluidity,86
101,                                        PC,platformer,Rayman Origins,86
102,                                        Game Boy Advance,platformer,Castlevania Double Pack,86
103,                                        PlayStation 2,platformer,Sly Cooper and the Thievius Raccoonus,86
104,                                        PlayStation 3,platformer,PixelJunk Eden Encore,86
105,                                        PlayStation Vita,platformer,Tales From Space: Mutant Blobs Attack,86
106,                                        PC,platformer,Bionic Commando Rearmed,86
107,                                        PlayStation 2,platformer,Psychonauts,86
108,                                        iOS,platformer,Pix'n Love Rush,86
109,                                        DS,platformer,Shantae: Risky's Revenge,85
110,                                        DS,platformer,Castlevania: Portrait of Ruin,85
111,                                        PlayStation,platformer,Oddworld: Abe's Oddysee,85
112,                                        PSP,platformer,Daxter,85
113,                                        iOS,platformer,Penumbear,85
114,                                        PlayStation Vita,platformer,Rogue Legacy,85
115,                                        PC,platformer,Shovel Knight,85
116,                                        Wii,platformer,Super Paper Mario,85
117,                                        DS,platformer,Super Mario 64 DS,85
118,                                        PC,platformer,Rogue Legacy,85
119,                                        Xbox 360,platformer,BattleBlock Theater,85
120,                                        PlayStation 4,platformer,Rogue Legacy,85
121,                                        Xbox 360,platformer,Trine 2,85
122,                                        DS,platformer,Castlevania: Order of Ecclesia,85
123,                                        Xbox 360,platformer,Bionic Commando Rearmed,85
124,                                        PlayStation Vita,platformer,Terraria,85
