,platform,genre,title,score
0,                                        Wii,puzzle,World of Goo,94
1,                                        iOS,puzzle,Plants vs. Zombies HD,93
2,                                        iOS,puzzle,Plants vs. Zombies,92
3,                                        PlayStation 3,puzzle,Peggle,91
4,                                        PC,puzzle,World of Goo,90
5,                                        Xbox 360,puzzle,Peggle Nights,89
6,                                        PSP,puzzle,Lumines,89
7,                                        Xbox 360,puzzle,Peggle,89
8,                                        Game Boy Advance,puzzle,"WarioWare, Inc.: Mega Microgame$!",89
9,                                        DS,puzzle,Meteos,88
10,                                        Game Boy Advance,puzzle,WarioWare: Twisted!,88
11,                                        PC,puzzle,Armadillo Run,88
12,                                        Wii,puzzle,Art of Balance,88
13,                                        PlayStation 3,puzzle,Critter Crunch,87
14,                                        iOS,puzzle,Eliss,87
15,                                        PC,puzzle,The Witness,87
16,                                        Xbox 360,puzzle,Puzzle Quest: Challenge of the Warlords,87
17,                                        Wii,puzzle,Boom Blox Bash Party,86
18,                                        DS,puzzle,Planet Puzzle League,86
19,                                        DS,puzzle,Professor Layton and the Unwound Future,86
20,                                        Wii,puzzle,Tetris Party,86
21,                                        PC,puzzle,Peggle Deluxe,85
22,                                        Wii,puzzle,Maboshi's Arcade,85
23,                                        Wii,puzzle,Boom Blox,85
24,                                        PSP,puzzle,Tetris,85
25,                                        DS,puzzle,Peggle: Dual Shot,84
26,                                        PSP,puzzle,Blast Off,84
27,                                        DS,puzzle,Tetris DS,84
28,                                        PC,puzzle,Puzzle Quest: Challenge of the Warlords,84
29,                                        Xbox 360,puzzle,Stacking,84
30,                                        DS,puzzle,Professor Layton and the Diabolical Box,84
31,                                        Game Boy Advance,puzzle,Puyo Pop,84
32,                                        iOS,puzzle,Geared 2!,84
33,                                        PSP,puzzle,Puzzle Quest: Challenge of the Warlords,84
34,                                        Game Boy Advance,puzzle,ChuChu Rocket!,84
35,                                        PlayStation,puzzle,Super Puzzle Fighter II Turbo,83
36,                                        DS,puzzle,Art Style: DIGIDRIVE,83
37,                                        DS,puzzle,Picross DS,83
38,                                        Game Boy Advance,puzzle,Super Puzzle Fighter II,83
39,                                        DS,puzzle,Picross 3D,83
40,                                        Xbox 360,puzzle,The Misadventures of P.B. Winterbottom,83
41,                                        DS,puzzle,Art Style: PiCTOBiTS,83
42,                                        DS,puzzle,Professor Layton and the Last Specter,83
43,                                        PC,puzzle,Puzzle Quest 2,83
44,                                        PlayStation 3,puzzle,Stacking,83
45,                                        Xbox 360,puzzle,Super Puzzle Fighter II Turbo HD Remix,83
46,                                        iOS,puzzle,Slice It!,83
47,                                        iOS,puzzle,Helsing's Fire,83
48,                                        3DS,puzzle,Professor Layton and the Miracle Mask,82
49,                                        PC,puzzle,Bejeweled 3,82
50,                                        Game Boy Advance,puzzle,Super Monkey Ball Jr.,82
51,                                        PlayStation 3,puzzle,Super Puzzle Fighter II Turbo HD Remix,82
52,                                        Wii,puzzle,Trauma Team,82
53,                                        PC,puzzle,Mystery Case Files: Dire Grove,82
54,                                        Wii,puzzle,Art Style: ORBIENT,82
55,                                        DS,puzzle,Puzzle Quest: Challenge of the Warlords,82
56,                                        PC,puzzle,Bookworm Adventures Deluxe,82
57,                                        DS,puzzle,WarioWare: Touched!,81
58,                                        PlayStation 3,puzzle,Bomberman Ultra,81
59,                                        PSP,puzzle,Lumines II,81
60,                                        Xbox 360,puzzle,ilomilo,81
61,                                        iOS,puzzle,Aqueduct,81
62,                                        PlayStation 3,puzzle,echochrome,81
63,                                        Nintendo 64,puzzle,Pokemon Puzzle League,81
64,                                        DS,puzzle,Super Scribblenauts,81
65,                                        Xbox 360,puzzle,Poker Smash,81
66,                                        PSP,puzzle,Coconut Dodge,81
67,                                        Xbox 360,puzzle,Puzzle Quest 2,81
68,                                        PC,puzzle,Osmos,80
69,                                        PlayStation 3,puzzle,Tetris,80
70,                                        PlayStation 3,puzzle,Lumines Supernova,80
71,                                        Wii,puzzle,A Boy and His Blob,80
72,                                        DS,puzzle,Bookworm,80
73,                                        PC,puzzle,Toki Tori,80
74,                                        iOS,puzzle,Castlevania Puzzle: Encore of the Night,80
75,                                        iOS,puzzle,Zen Bound 2 Universal,80
76,                                        iOS,puzzle,ChuChu Rocket!,79
77,                                        PC,puzzle,Bookworm Adventures: Volume 2,79
78,                                        DS,puzzle,Scribblenauts,79
79,                                        Wii,puzzle,Rubik's Puzzle Galaxy: RUSH,79
80,                                        PSP,puzzle,echochrome,79
81,                                        Xbox 360,puzzle,Quarrel,79
82,                                        Dreamcast,puzzle,Bust-A-Move 4,79
83,                                        PlayStation 3,puzzle,Cuboid,79
84,                                        Wii,puzzle,"You, Me, and the Cubes",79
85,                                        PC,puzzle,Puzzle Dimension,79
