,platform,genre,title,score
0,                                        PlayStation,racing,Gran Turismo,96
1,                                        PlayStation 2,racing,Gran Turismo 3: A-Spec,95
2,                                        iOS,racing,Need for Speed Shift,94
3,                                        iOS,racing,Jet Car Stunts,94
4,                                        Xbox,racing,Burnout 3: Takedown,94
5,                                        iOS,racing,Real Racing 2,94
6,                                        PlayStation 2,racing,Burnout 3: Takedown,93
7,                                        PlayStation,racing,Gran Turismo 2,93
8,                                        Game Boy Advance,racing,Mario Kart Super Circuit,93
9,                                        Dreamcast,racing,Test Drive Le Mans,93
10,                                        PlayStation,racing,Wipeout XL,93
11,                                        Xbox One,racing,Forza Horizon 4,92
12,                                        Xbox,racing,Forza Motorsport,92
13,                                        Xbox 360,racing,Forza Motorsport 3,92
14,                                        Nintendo 64,racing,Wave Race 64,92
15,                                        Switch,racing,Mario Kart 8 Deluxe,92
16,                                        iOS,racing,Reckless Racing 2,91
17,                                        PC,racing,F1 Challenge '99-'02,91
18,                                        iOS,racing,Asphalt 8: Airborne,91
19,                                        Xbox One,racing,Forza Horizon 3,91
20,                                        Xbox 360,racing,Forza Motorsport 4,91
21,                                        Xbox One,racing,F1 2020,91
22,                                        DS,racing,Mario Kart DS,91
23,                                        Xbox,racing,Project Gotham Racing 2,90
24,                                        Xbox 360,racing,Trials Evolution,90
25,                                        PlayStation 2,racing,Burnout Revenge,90
26,                                        iOS,racing,GRID Autosport,90
27,                                        Wii U,racing,Mario Kart 8 DLC Pack 2,90
28,                                        Xbox 360,racing,Forza Motorsport 2,90
29,                                        PlayStation,racing,Colin McRae Rally 2.0,90
30,                                        PC,racing,GTR 2,90
31,                                        Nintendo 64,racing,Beetle Adventure Racing,90
32,                                        PlayStation 3,racing,Wipeout HD Fury,89
33,                                        Xbox,racing,Burnout Revenge,89
34,                                        PlayStation,racing,Wipeout 3,89
35,                                        Xbox One,racing,F1 2019,89
36,                                        PC,racing,F1 2017,89
37,                                        PC,racing,NASCAR Racing 2002 Season,89
38,                                        PlayStation 3,racing,Need for Speed: Hot Pursuit,89
39,                                        GameCube,racing,F-Zero GX,89
40,                                        PC,racing,Inertial Drift,89
