,platform,genre,title,score
0,                                        PC,real-time,Command & Conquer,94
1,                                        iOS,real-time,Anomaly: Warzone Earth,94
2,                                        PC,real-time,Company of Heroes,93
3,                                        PC,real-time,Starcraft II: Wings of Liberty,93
4,                                        PC,real-time,Homeworld,93
5,                                        iOS,real-time,Twilight Struggle Mobile,93
6,                                        iOS,real-time,Plants vs. Zombies HD,93
7,                                        iOS,real-time,Plants vs. Zombies,92
8,                                        PC,real-time,Warcraft III: Reign of Chaos,92
9,                                        PC,real-time,Sid Meier's Gettysburg!,92
10,                                        PC,real-time,Rome: Total War,92
11,                                        PC,real-time,Age of Empires II: The Age of Kings,92
12,                                        PC,real-time,Myth: The Fallen Lords,91
13,                                        PC,real-time,Crusader Kings III,91
14,                                        PC,real-time,Black & White,90
15,                                        iOS,real-time,This War of Mine,90
16,                                        GameCube,real-time,Pikmin 2,90
17,                                        PC,real-time,Dota 2,90
18,                                        PC,real-time,Empire: Total War,90
19,                                        PC,real-time,Command & Conquer: Red Alert,90
20,                                        PC,real-time,Age of Mythology,89
21,                                        PC,real-time,Sacrifice,89
22,                                        GameCube,real-time,Pikmin,89
23,                                        Xbox 360,real-time,Plants vs. Zombies,89
24,                                        PC,real-time,Homeworld: Cataclysm,89
25,                                        PC,real-time,Combat Mission: Barbarossa to Berlin,89
26,                                        PC,real-time,World in Conflict,89
27,                                        iOS,real-time,Kingdom Rush,89
28,                                        PC,real-time,Rise of Nations,89
29,                                        iOS,real-time,Elf Defense Eng,89
30,                                        PC,real-time,Medieval: Total War,88
31,                                        PC,real-time,Crusader Kings II: The Old Gods,88
32,                                        PC,real-time,Age of Empires II: The Conquerors Expansion,88
33,                                        PC,real-time,Starcraft,88
34,                                        PC,real-time,Warcraft III: The Frozen Throne,88
35,                                        PC,real-time,Myth II: Soulblighter,88
36,                                        iOS,real-time,Fieldrunners 2,88
37,                                        PC,real-time,Medieval II: Total War,88
38,                                        iOS,real-time,Kingdom Rush Vengeance,88
39,                                        PC,real-time,Starcraft II: Legacy of the Void,88
40,                                        PC,real-time,Rise of Nations: Thrones & Patriots,88
41,                                        PC,real-time,Plants vs. Zombies,87
42,                                        PC,real-time,Europa Universalis II,87
43,                                        PC,real-time,RimWorld,87
44,                                        PC,real-time,Sins of a Solar Empire,87
45,                                        PC,real-time,Orcs Must Die! Unchained,87
46,                                        3DS,real-time,Gotta Protectors,87
47,                                        PC,real-time,Kohan: Immortal Sovereigns,87
48,                                        Wii,real-time,Little King's Story,87
49,                                        PC,real-time,Shogun: Total War Warlord Edition,87
50,                                        PC,real-time,Company of Heroes: Opposing Fronts,87
51,                                        PC,real-time,Europa Universalis IV,87
52,                                        Wii U,real-time,Pikmin 3,87
53,                                        PC,real-time,Total War: WARHAMMER II,87
54,                                        iOS,real-time,Sentinel 3: Homeworld,87
55,                                        PC,real-time,"Warhammer 40,000: Dawn of War - Dark Crusade",87
56,                                        PC,real-time,Commandos 2: Men of Courage,87
57,                                        PSP,real-time,PixelJunk Monsters Deluxe,86
58,                                        PC,real-time,Supreme Commander,86
59,                                        PC,real-time,Ground Control,86
60,                                        PC,real-time,Total Annihilation,86
61,                                        PC,real-time,Starcraft II: Heart of the Swarm,86
62,                                        iOS,real-time,Anomaly 2,86
63,                                        iOS,real-time,Company of Heroes,86
64,                                        iOS,real-time,Plants vs Zombies 2: It's About Time,86
65,                                        iOS,real-time,Anomaly Korea,86
66,                                        PC,real-time,Europa Universalis III: Heir to the Throne,86
