,platform,genre,title,score
0,                                        Xbox 360,role-playing,Mass Effect 2,96
1,                                        Xbox 360,role-playing,The Elder Scrolls V: Skyrim,96
2,                                        iOS,role-playing,The World Ends with You: Solo Remix for iPad,95
3,                                        PC,role-playing,Baldur's Gate II: Shadows of Amn,95
4,                                        PC,role-playing,Divinity: Original Sin II - Definitive Edition,95
5,                                        PlayStation 4,role-playing,Persona 5 Royal,95
6,                                        PC,role-playing,The Elder Scrolls V: Skyrim,94
7,                                        PlayStation,role-playing,Final Fantasy IX,94
8,                                        iOS,role-playing,Legend of Grimrock,94
9,                                        PC,role-playing,Mass Effect 2,94
10,                                        PlayStation,role-playing,Chrono Cross,94
11,                                        PlayStation 3,role-playing,Mass Effect 2,94
12,                                        Xbox 360,role-playing,The Elder Scrolls IV: Oblivion,94
13,                                        PC,role-playing,The Elder Scrolls IV: Oblivion,94
14,                                        Xbox One,role-playing,The Witcher 3: Wild Hunt - Blood and Wine,94
15,                                        PC,role-playing,Divinity: Original Sin Enhanced Edition,94
16,                                        PC,role-playing,Diablo,94
17,                                        iOS,role-playing,Bastion,94
18,                                        Xbox,role-playing,Star Wars: Knights of the Old Republic,94
19,                                        PC,role-playing,The Witcher 3: Wild Hunt,93
20,                                        Switch,role-playing,Divinity: Original Sin II - Definitive Edition,93
21,                                        PC,role-playing,Divinity: Original Sin II,93
22,                                        PlayStation Vita,role-playing,Odin Sphere Leifthrasir,93
23,                                        iOS,role-playing,Crashlands,93
24,                                        Switch,role-playing,Undertale,93
25,                                        PlayStation Vita,role-playing,Persona 4 Golden,93
26,                                        PlayStation 4,role-playing,Persona 5,93
27,                                        PlayStation 3,role-playing,The Elder Scrolls IV: Oblivion,93
28,                                        iOS,role-playing,Transistor,93
29,                                        PlayStation 4,role-playing,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,93
30,                                        Xbox 360,role-playing,Fallout 3,93
31,                                        Xbox 360,role-playing,Mass Effect 3,93
32,                                        Dreamcast,role-playing,Skies of Arcadia,93
33,                                        PC,role-playing,Star Wars: Knights of the Old Republic,93
34,                                        Nintendo 64,role-playing,Paper Mario,93
35,                                        PlayStation 3,role-playing,Mass Effect 3,93
36,                                        PC,role-playing,World of Warcraft,93
37,                                        PlayStation 3,role-playing,The Elder Scrolls V: Skyrim,92
38,                                        Xbox One,role-playing,Divinity: Original Sin II - Definitive Edition,92
39,                                        PlayStation 4,role-playing,Bloodborne,92
40,                                        iOS,role-playing,Rogue Wizards,92
41,                                        PlayStation,role-playing,Vagrant Story,92
42,                                        PlayStation 2,role-playing,Final Fantasy XII,92
43,                                        PlayStation 4,role-playing,Undertale,92
44,                                        PlayStation 4,role-playing,The Witcher 3: Wild Hunt,92
45,                                        PC,role-playing,Undertale,92
46,                                        PlayStation 2,role-playing,Final Fantasy X,92
47,                                        PlayStation 4,role-playing,Divinity: Original Sin II - Definitive Edition,92
48,                                        PlayStation,role-playing,Final Fantasy VII,92
49,                                        iOS,role-playing,Crypt of the NecroDancer,92
50,                                        DS,role-playing,Chrono Trigger,92
51,                                        Wii,role-playing,Xenoblade Chronicles,92
52,                                        PlayStation 5,role-playing,Demon's Souls,92
53,                                        iOS,role-playing,Chaos Rings,92
54,                                        iOS,role-playing,Banner Saga,92
55,                                        PC,role-playing,The Witcher 3: Wild Hunt - Blood and Wine,92
56,                                        Game Boy Advance,role-playing,Final Fantasy VI Advance,92
57,                                        iOS,role-playing,Attack the Light - Steven Universe Light RPG,91
58,                                        iOS,role-playing,Dust: An Elysian Tail,91
59,                                        Xbox 360,role-playing,Dark Souls II,91
60,                                        PC,role-playing,World of Warcraft: Wrath of the Lich King,91
61,                                        PC,role-playing,Baldur's Gate,91
62,                                        Xbox One,role-playing,The Witcher 3: Wild Hunt,91
63,                                        iOS,role-playing,Chaos Rings for iPad,91
64,                                        iOS,role-playing,The World Ends with You: Solo Remix,91
65,                                        Switch,role-playing,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,91
66,                                        iOS,role-playing,Final Fantasy VI,91
67,                                        iOS,role-playing,Space Miner: Space Ore Bust,91
68,                                        PlayStation 4,role-playing,Final Fantasy XIV: Shadowbringers,91
69,                                        PC,role-playing,World of Warcraft: The Burning Crusade,91
70,                                        PlayStation 4,role-playing,The Witcher 3: Wild Hunt - Blood and Wine,91
71,                                        Xbox 360,role-playing,Mass Effect,91
72,                                        PC,role-playing,Fallout 3,91
73,                                        PC,role-playing,Planescape: Torment,91
74,                                        PC,role-playing,Neverwinter Nights,91
75,                                        PC,role-playing,Dragon Age: Origins,91
76,                                        Game Boy Advance,role-playing,Golden Sun,91
77,                                        PC,role-playing,Disco Elysium,91
78,                                        3DS,role-playing,The Legend of Zelda: A Link Between Worlds,91
79,                                        PlayStation 4,role-playing,NieR: Automata - Game of the YoRHa Edition,91
80,                                        PC,role-playing,Dark Souls II,91
81,                                        PlayStation 3,role-playing,Dark Souls II,91
82,                                        PC,role-playing,Final Fantasy XIV: Shadowbringers,90
83,                                        PC,role-playing,World of Warcraft: Cataclysm,90
84,                                        PlayStation 4,role-playing,Diablo III: Ultimate Evil Edition,90
85,                                        Game Boy Advance,role-playing,Mario & Luigi: Superstar Saga,90
86,                                        DS,role-playing,Mario & Luigi: Bowser's Inside Story,90
87,                                        Xbox One,role-playing,Monster Hunter: World - Iceborne,90
88,                                        PlayStation 3,role-playing,The Legend of Heroes: Trails of Cold Steel II,90
89,                                        PlayStation 3,role-playing,Fallout 3,90
90,                                        Xbox One,role-playing,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,90
91,                                        PC,role-playing,Cyberpunk 2077,90
92,                                        Xbox One,role-playing,NieR: Automata - Become as Gods Edition,90
93,                                        iOS,role-playing,-KingdomConquest-,90
94,                                        iOS,role-playing,Dragon Quest V: Hand of the Heavenly Bride,90
95,                                        Xbox One,role-playing,The Witcher 3: Wild Hunt - Hearts of Stone,90
96,                                        iOS,role-playing,7 Mages,90
97,                                        Xbox One,role-playing,Monster Hunter: World,90
98,                                        Switch,role-playing,Bastion,90
