,platform,genre,title,score
0,                                        PlayStation,sports,Tony Hawk's Pro Skater 2,98
1,                                        Dreamcast,sports,Tony Hawk's Pro Skater 2,97
2,                                        PlayStation 2,sports,Tony Hawk's Pro Skater 3,97
3,                                        Dreamcast,sports,NFL 2K1,97
4,                                        PC,sports,Out of the Park Baseball 2007,96
5,                                        PlayStation 2,sports,Madden NFL 2003,95
6,                                        Game Boy Advance,sports,Tony Hawk's Pro Skater 2,95
7,                                        iOS,sports,Super Stickman Golf 3,95
8,                                        PlayStation,sports,ISS Pro Evolution,94
9,                                        PlayStation 2,sports,Tony Hawk's Pro Skater 4,94
10,                                        PlayStation 2,sports,Madden NFL 2002,94
11,                                        PlayStation 2,sports,Madden NFL 2004,94
12,                                        PlayStation 2,sports,NCAA Football 2004,94
13,                                        GameCube,sports,Madden NFL 2004,94
14,                                        Xbox,sports,Tony Hawk's Pro Skater 3,93
15,                                        PlayStation 2,sports,SSX,93
16,                                        PlayStation 2,sports,SSX 3,93
17,                                        iOS,sports,Pocket Run Pool,93
18,                                        PlayStation 2,sports,NFL 2K3,93
19,                                        PlayStation 2,sports,World Soccer Winning Eleven 6 International,93
20,                                        Dreamcast,sports,NBA 2K1,93
21,                                        PlayStation 2,sports,World Soccer Winning Eleven 7 International,93
22,                                        Dreamcast,sports,NBA 2K2,93
23,                                        PlayStation 2,sports,SSX Tricky,92
24,                                        PlayStation 2,sports,NHL 2002,92
25,                                        GameCube,sports,NFL 2K3,92
26,                                        GameCube,sports,SSX 3,92
27,                                        Xbox,sports,Madden NFL 2004,92
28,                                        PC,sports,World Soccer Winning Eleven 7 International,92
29,                                        GameCube,sports,Madden NFL 2003,92
30,                                        Xbox,sports,ESPN NFL 2K5,92
31,                                        Dreamcast,sports,Virtua Tennis,92
32,                                        Xbox,sports,Madden NFL 2003,92
33,                                        iOS,sports,Table Tennis Touch,92
34,                                        PlayStation,sports,Tony Hawk's Pro Skater,92
35,                                        Xbox,sports,SSX 3,92
36,                                        PC,sports,Out of the Park Baseball 17,92
37,                                        PC,sports,Tiger Woods PGA Tour 2003,92
38,                                        Xbox,sports,Madden NFL 2005,91
39,                                        PlayStation 2,sports,ESPN NFL Football,91
40,                                        PlayStation 2,sports,Madden NFL 2001,91
41,                                        GameCube,sports,Tony Hawk's Pro Skater 4,91
42,                                        Nintendo 64,sports,Mario Tennis,91
43,                                        iOS,sports,Ridiculous Fishing - A Tale of Redemption,91
44,                                        PlayStation 3,sports,FIFA Soccer 10,91
45,                                        iOS,sports,Let's Golf! 2,91
46,                                        PlayStation 2,sports,NCAA Football 2003,91
47,                                        PC,sports,Out of the Park Baseball 16,91
48,                                        PlayStation 3,sports,MLB 10: The Show,91
49,                                        PC,sports,Tony Hawk's Pro Skater 2,91
50,                                        PC,sports,Tiger Woods PGA Tour 2005,91
51,                                        GameCube,sports,NCAA Football 2003,91
52,                                        Xbox,sports,ESPN NFL Football,91
53,                                        PlayStation 2,sports,Madden NFL 2005,91
54,                                        GameCube,sports,Tony Hawk's Pro Skater 3,91
55,                                        PlayStation 2,sports,World Soccer Winning Eleven 8 International,91
56,                                        PC,sports,Madden NFL 2004,91
57,                                        Nintendo 64,sports,Mario Golf,91
58,                                        Nintendo 64,sports,International Superstar Soccer '98,91
59,                                        PlayStation 3,sports,NBA 2K12,90
60,                                        iOS,sports,First Touch Soccer,90
61,                                        Xbox,sports,NCAA Football 2003,90
62,                                        iOS,sports,FIFA Soccer 13,90
63,                                        PlayStation 3,sports,FIFA Soccer 12,90
64,                                        PlayStation 2,sports,Tony Hawk's Underground,90
65,                                        Xbox 360,sports,FIFA Soccer 12,90
66,                                        PlayStation 2,sports,NBA Street Vol. 2,90
67,                                        Xbox 360,sports,FIFA Soccer 10,90
68,                                        Dreamcast,sports,Tennis 2K2,90
69,                                        PlayStation 2,sports,ESPN NFL 2K5,90
70,                                        PC,sports,NHL 2001,90
71,                                        PlayStation 2,sports,MVP Baseball 2004,90
72,                                        Game Boy Advance,sports,Tony Hawk's Pro Skater 3,90
73,                                        PlayStation 3,sports,MLB 11: The Show,90
74,                                        PlayStation 2,sports,NCAA Football 2002,90
75,                                        PC,sports,Tony Hawk's Pro Skater 3,90
76,                                        GameCube,sports,NBA 2K2,90
77,                                        PlayStation 3,sports,MLB 09: The Show,90
78,                                        Dreamcast,sports,NFL 2K2,90
79,                                        Xbox,sports,MVP Baseball 2004,90
80,                                        Xbox,sports,Tony Hawk's Pro Skater 4,90
81,                                        PC,sports,NBA 2K13,90
82,                                        Xbox,sports,Madden NFL 2002,90
83,                                        Xbox One,sports,NBA 2K17,90
84,                                        PC,sports,NBA 2K17,90
85,                                        Xbox,sports,World Soccer Winning Eleven 8 International,90
86,                                        Xbox,sports,NBA 2K2,90
87,                                        GameCube,sports,Tiger Woods PGA Tour 2003,90
88,                                        GameCube,sports,Madden NFL 2005,90
89,                                        Xbox 360,sports,FIFA Soccer 13,90
90,                                        PlayStation 3,sports,NBA 2K13,90
91,                                        PlayStation 2,sports,ESPN NHL Hockey,90
92,                                        PlayStation,sports,Madden NFL 2001,90
93,                                        Xbox 360,sports,NBA 2K12,90
94,                                        PlayStation 2,sports,Tiger Woods PGA Tour 2004,89
95,                                        GameCube,sports,Madden NFL 2002,89
96,                                        PlayStation 2,sports,NBA Street V3,89
97,                                        PlayStation 2,sports,NHL 2K3,89
98,                                        PC,sports,World Soccer Winning Eleven 9,89
99,                                        PC,sports,Worldwide Soccer Manager 2005,89
100,                                        PlayStation 2,sports,NBA 2K3,89
101,                                        Xbox,sports,NHL 2K3,89
102,                                        GameCube,sports,Tony Hawk's Underground,89
103,                                        Xbox,sports,NBA Street V3,89
104,                                        Xbox,sports,NHL 2002,89
105,                                        GameCube,sports,NCAA Football 2004,89
106,                                        Xbox,sports,NCAA Football 2005,89
107,                                        iOS,sports,Frisbee Forever 2,89
108,                                        Xbox,sports,World Soccer Winning Eleven 9,89
109,                                        GameCube,sports,Tiger Woods PGA Tour 2004,89
110,                                        GameCube,sports,MVP Baseball 2004,89
111,                                        PC,sports,Out of the Park Baseball 15,89
112,                                        PlayStation 3,sports,FIFA Soccer 11,89
113,                                        Xbox,sports,NBA Street Vol. 2,89
114,                                        PC,sports,FIFA Soccer 12,89
115,                                        PC,sports,NHL Eastside Hockey Manager 2007,89
116,                                        Xbox,sports,World Series Baseball 2K3,89
