,platform,genre,title,score
0,                                        iOS,strategy,Meteorfall: Journey,95
1,                                        PC,strategy,Command & Conquer,94
2,                                        iOS,strategy,Raiders of the North Sea,94
3,                                        PC,strategy,Factorio,94
4,                                        iOS,strategy,Anomaly: Warzone Earth,94
5,                                        PC,strategy,Sid Meier's Civilization II,94
6,                                        PC,strategy,Sid Meier's Civilization IV,94
7,                                        PC,strategy,Company of Heroes,93
8,                                        PlayStation 4,strategy,XCOM 2: War of the Chosen,93
9,                                        iOS,strategy,Skulls of the Shogun,93
10,                                        PC,strategy,Starcraft II: Wings of Liberty,93
11,                                        iOS,strategy,Hearthstone: Heroes of Warcraft,93
12,                                        PC,strategy,Homeworld,93
13,                                        iOS,strategy,Twilight Struggle Mobile,93
14,                                        iOS,strategy,Plants vs. Zombies HD,93
15,                                        iOS,strategy,Plants vs. Zombies,92
16,                                        PC,strategy,Warcraft III: Reign of Chaos,92
17,                                        PC,strategy,Sid Meier's Gettysburg!,92
18,                                        Game Boy Advance,strategy,Advance Wars,92
19,                                        iOS,strategy,XCOM: Enemy Within,92
20,                                        PC,strategy,Rome: Total War,92
21,                                        iOS,strategy,Sid Meier's Civilization VI,92
22,                                        3DS,strategy,Fire Emblem: Awakening,92
23,                                        PC,strategy,Age of Empires II: The Age of Kings,92
24,                                        PC,strategy,Sid Meier's Alpha Centauri,92
25,                                        PC,strategy,Galactic Civilizations II: Twilight of the Arnor,92
26,                                        iOS,strategy,Banner Saga,92
27,                                        PC,strategy,Myth: The Fallen Lords,91
28,                                        PC,strategy,Mission: It's Complicated,91
29,                                        PC,strategy,Galactic Civilizations II: Dark Avatar,91
30,                                        iOS,strategy,XCOM: Enemy Unknown,91
31,                                        PC,strategy,Crusader Kings III,91
32,                                        Switch,strategy,SteamWorld Heist: Ultimate Edition,91
33,                                        iOS,strategy,Lords of Waterdeep,90
34,                                        PlayStation Vita,strategy,SteamWorld Heist,90
35,                                        PC,strategy,Black & White,90
36,                                        DS,strategy,Advance Wars: Dual Strike,90
37,                                        iOS,strategy,Ant Raid,90
38,                                        iOS,strategy,Drive on Moscow,90
39,                                        iOS,strategy,This War of Mine,90
40,                                        iOS,strategy,SteamWorld Heist,90
41,                                        iOS,strategy,RollerCoaster Tycoon Classic,90
42,                                        PC,strategy,Sid Meier's Civilization III,90
43,                                        iOS,strategy,King of Dragon Pass,90
44,                                        GameCube,strategy,Pikmin 2,90
45,                                        PC,strategy,Sid Meier's Civilization V,90
46,                                        Xbox 360,strategy,XCOM: Enemy Unknown,90
47,                                        PC,strategy,Dota 2,90
48,                                        iOS,strategy,Star Traders: Frontiers,90
49,                                        iOS,strategy,Magic: The Gathering - Duels of the Planeswalkers 2013,90
50,                                        PC,strategy,Into the Breach,90
51,                                        PC,strategy,Total War: Shogun 2,90
52,                                        PC,strategy,Empire: Total War,90
53,                                        PC,strategy,Command & Conquer: Red Alert,90
54,                                        iOS,strategy,Iron Marines,90
55,                                        iOS,strategy,Game Dev Tycoon,89
56,                                        PlayStation 3,strategy,XCOM: Enemy Unknown,89
57,                                        PC,strategy,Age of Mythology,89
58,                                        PC,strategy,Sacrifice,89
59,                                        GameCube,strategy,Pikmin,89
60,                                        Xbox 360,strategy,Plants vs. Zombies,89
61,                                        Switch,strategy,Into the Breach,89
62,                                        iOS,strategy,Five Card Quest - Tactical RPG Battles,89
63,                                        PC,strategy,Homeworld: Cataclysm,89
64,                                        PC,strategy,Combat Mission: Barbarossa to Berlin,89
65,                                        iOS,strategy,Mini Metro,89
66,                                        PC,strategy,Slay the Spire,89
67,                                        Switch,strategy,Fire Emblem: Three Houses,89
68,                                        PC,strategy,World in Conflict,89
69,                                        iOS,strategy,Kingdom Rush,89
70,                                        PC,strategy,Star Control 3,89
71,                                        PC,strategy,Korsun Pocket,89
72,                                        PC,strategy,XCOM: Enemy Unknown,89
73,                                        PC,strategy,Rise of Nations,89
74,                                        iOS,strategy,XCOM 2 Collection,89
75,                                        Game Boy Advance,strategy,Advance Wars 2: Black Hole Rising,89
76,                                        iOS,strategy,Elf Defense Eng,89
77,                                        iOS,strategy,Pike and Shot,89
78,                                        iOS,strategy,Lost Frontier,89
79,                                        PC,strategy,Railroad Tycoon II,89
80,                                        iOS,strategy,Crimson: Steam Pirates,88
81,                                        PC,strategy,XCOM 2: War of the Chosen,88
82,                                        PC,strategy,Medieval: Total War,88
83,                                        PC,strategy,Crusader Kings II: The Old Gods,88
84,                                        PC,strategy,Age of Empires II: The Conquerors Expansion,88
85,                                        Xbox One,strategy,The Banner Saga 3,88
86,                                        PC,strategy,Starcraft,88
