,platform,genre,title,score
0,                                        PlayStation 3,third-person,Red Dead Redemption,95
1,                                        Xbox 360,third-person,Red Dead Redemption,95
2,                                        Xbox 360,third-person,Gears of War,94
3,                                        PC,third-person,Grim Fandango,94
4,                                        Xbox 360,third-person,Gears of War 2,93
5,                                        PC,third-person,Star Wars: Knights of the Old Republic,93
6,                                        PC,third-person,The Longest Journey,91
7,                                        Xbox 360,third-person,Gears of War 3,91
8,                                        PC,third-person,Call of Duty,91
9,                                        PlayStation,third-person,Syphon Filter,90
10,                                        PlayStation Vita,third-person,Broken Age,90
11,                                        Xbox 360,third-person,Dead Space 2,90
12,                                        PC,third-person,Max Payne,89
13,                                        Xbox,third-person,Max Payne,89
14,                                        PlayStation 3,third-person,L.A. Noire,89
15,                                        Xbox 360,third-person,Dead Space,89
16,                                        PlayStation 3,third-person,Dead Space 2,89
17,                                        Xbox 360,third-person,L.A. Noire,89
18,                                        iOS,third-person,Botanicula,88
19,                                        Xbox 360,third-person,Shadow Complex,88
20,                                        PlayStation 3,third-person,Dead Space,88
21,                                        PlayStation Vita,third-person,Machinarium,88
22,                                        iOS,third-person,Machinarium,88
23,                                        iOS,third-person,Dead Space,88
24,                                        iOS,third-person,Star Wars: Knights of the Old Republic,88
25,                                        iOS,third-person,Alien Breed,88
26,                                        PlayStation 2,third-person,SOCOM II: U.S. Navy SEALs,87
27,                                        Xbox One,third-person,DOOM,87
28,                                        PlayStation 3,third-person,Max Payne 3,87
29,                                        PlayStation 3,third-person,Heavy Rain,87
30,                                        PSP,third-person,Syphon Filter: Dark Mirror,87
31,                                        PC,third-person,Max Payne 3,87
32,                                        PC,third-person,Dead Space 2,87
33,                                        PC,third-person,Call of Duty: United Offensive,87
34,                                        PC,third-person,Gears of War,87
35,                                        iOS,third-person,Gemini Rue,86
36,                                        PC,third-person,The Gallery - Episode 2: Heart of the Emberstone,86
37,                                        iOS,third-person,The Walking Dead: Episode 1: A New Day,86
38,                                        PC,third-person,Gears of War 4,86
39,                                        PC,third-person,Max Payne 2: The Fall of Max Payne,86
40,                                        Xbox 360,third-person,Max Payne 3,86
41,                                        PC,third-person,Dead Space,86
42,                                        PC,third-person,Escape from Monkey Island,86
43,                                        Switch,third-person,Warframe,86
44,                                        PlayStation 3,third-person,Tales of Monkey Island,86
45,                                        PC,third-person,Risk of Rain 2,85
46,                                        PC,third-person,"Sam & Max Episode 205: What's New, Beelzebub?",85
