,platform,genre,title,score
0,                                        iOS,turn-based,Meteorfall: Journey,95
1,                                        PC,turn-based,Sid Meier's Civilization II,94
2,                                        PC,turn-based,Sid Meier's Civilization IV,94
3,                                        PlayStation 4,turn-based,XCOM 2: War of the Chosen,93
4,                                        iOS,turn-based,Skulls of the Shogun,93
5,                                        iOS,turn-based,Hearthstone: Heroes of Warcraft,93
6,                                        iOS,turn-based,Twilight Struggle Mobile,93
7,                                        Game Boy Advance,turn-based,Advance Wars,92
8,                                        iOS,turn-based,XCOM: Enemy Within,92
9,                                        iOS,turn-based,Sid Meier's Civilization VI,92
10,                                        3DS,turn-based,Fire Emblem: Awakening,92
11,                                        PC,turn-based,Sid Meier's Alpha Centauri,92
12,                                        PC,turn-based,Galactic Civilizations II: Twilight of the Arnor,92
13,                                        iOS,turn-based,Banner Saga,92
14,                                        PC,turn-based,Mission: It's Complicated,91
15,                                        PC,turn-based,Galactic Civilizations II: Dark Avatar,91
16,                                        iOS,turn-based,XCOM: Enemy Unknown,91
17,                                        Switch,turn-based,SteamWorld Heist: Ultimate Edition,91
18,                                        iOS,turn-based,Lords of Waterdeep,90
19,                                        PlayStation Vita,turn-based,SteamWorld Heist,90
20,                                        DS,turn-based,Advance Wars: Dual Strike,90
21,                                        iOS,turn-based,Drive on Moscow,90
22,                                        iOS,turn-based,SteamWorld Heist,90
23,                                        PC,turn-based,Sid Meier's Civilization III,90
24,                                        PC,turn-based,Sid Meier's Civilization V,90
25,                                        Xbox 360,turn-based,XCOM: Enemy Unknown,90
26,                                        iOS,turn-based,Magic: The Gathering - Duels of the Planeswalkers 2013,90
27,                                        PC,turn-based,Into the Breach,90
28,                                        PC,turn-based,Total War: Shogun 2,90
29,                                        PlayStation 3,turn-based,XCOM: Enemy Unknown,89
30,                                        Switch,turn-based,Into the Breach,89
31,                                        iOS,turn-based,Five Card Quest - Tactical RPG Battles,89
32,                                        PC,turn-based,Slay the Spire,89
33,                                        Switch,turn-based,Fire Emblem: Three Houses,89
34,                                        PC,turn-based,XCOM: Enemy Unknown,89
35,                                        iOS,turn-based,XCOM 2 Collection,89
36,                                        Game Boy Advance,turn-based,Advance Wars 2: Black Hole Rising,89
37,                                        iOS,turn-based,Lost Frontier,89
38,                                        PC,turn-based,XCOM 2: War of the Chosen,88
39,                                        Xbox One,turn-based,The Banner Saga 3,88
40,                                        Game Boy Advance,turn-based,Tactics Ogre: The Knight of Lodis,88
41,                                        PlayStation 3,turn-based,XCOM: Enemy Within,88
42,                                        PC,turn-based,XCOM 2,88
43,                                        Xbox 360,turn-based,XCOM: Enemy Within,88
44,                                        3DS,turn-based,Fire Emblem Fates: Special Edition,88
45,                                        PSP,turn-based,Final Fantasy Tactics: The War of the Lions,88
46,                                        PC,turn-based,Hearthstone: Heroes of Warcraft,88
47,                                        PC,turn-based,Unity of Command II,88
48,                                        PlayStation 4,turn-based,Slay the Spire,88
49,                                        Game Boy Advance,turn-based,Fire Emblem,88
50,                                        3DS,turn-based,Fire Emblem Fates: Revelation,88
51,                                        PC,turn-based,Sid Meier's Civilization VI,88
52,                                        PlayStation 4,turn-based,XCOM 2,87
53,                                        PlayStation 4,turn-based,Sid Meier's Civilization VI,87
54,                                        PSP,turn-based,Jeanne d'Arc,87
55,                                        PSP,turn-based,Tactics Ogre: Let Us Cling Together,87
56,                                        iOS,turn-based,Banner Saga 2,87
57,                                        Game Boy Advance,turn-based,Final Fantasy Tactics Advance,87
58,                                        3DS,turn-based,Fire Emblem Fates: Conquest,87
59,                                        Wii U,turn-based,SteamWorld Heist,87
60,                                        PSP,turn-based,Disgaea: Afternoon of Darkness,87
61,                                        PC,turn-based,Shogun: Total War Warlord Edition,87
62,                                        PC,turn-based,Legends of Runeterra,87
63,                                        iOS,turn-based,Dungelot: Shattered Lands,87
64,                                        Xbox One,turn-based,Insane Robots,87
65,                                        Xbox One,turn-based,XCOM 2,87
66,                                        PC,turn-based,Hex: Shards of Fate,87
67,                                        PC,turn-based,Total War: Shogun 2 - Fall of the Samurai,86
