,platform,genre,title,score
0,                                        PlayStation,wrestling,WWF SmackDown! 2: Know Your Role,90
1,                                        Nintendo 64,wrestling,WWF No Mercy,89
2,                                        PlayStation 3,wrestling,UFC Undisputed 3,86
3,                                        PlayStation 3,wrestling,UFC Undisputed 2010,85
4,                                        PlayStation 2,wrestling,WWE SmackDown! Here Comes the Pain,85
5,                                        Xbox 360,wrestling,UFC Undisputed 3,85
6,                                        Xbox 360,wrestling,UFC Undisputed 2010,84
7,                                        Xbox,wrestling,Def Jam: Fight for NY,84
8,                                        PlayStation 3,wrestling,UFC Undisputed 2009,84
9,                                        PlayStation 2,wrestling,WWE SmackDown! vs. Raw 2006,84
10,                                        Xbox 360,wrestling,UFC Undisputed 2009,83
11,                                        PlayStation 2,wrestling,Def Jam: Fight for NY,83
12,                                        PlayStation 2,wrestling,WWE SmackDown! Shut Your Mouth,82
13,                                        PSP,wrestling,WWE SmackDown! vs. Raw 2006,81
14,                                        PlayStation 3,wrestling,WWE SmackDown vs. Raw 2010,81
15,                                        Xbox 360,wrestling,WWE SmackDown vs. Raw 2007,81
16,                                        GameCube,wrestling,Def Jam Vendetta,81
17,                                        Xbox 360,wrestling,WWE SmackDown vs. Raw 2010,80
18,                                        PlayStation 2,wrestling,WWE SmackDown! vs. Raw,80
19,                                        Game Boy Advance,wrestling,Fire Pro Wrestling,80
20,                                        PlayStation 2,wrestling,WWE SmackDown vs. Raw 2007,80
21,                                        PlayStation 2,wrestling,Def Jam Vendetta,80
22,                                        Xbox 360,wrestling,WWE SmackDown vs. Raw 2009,79
23,                                        Xbox 360,wrestling,EA Sports MMA,79
24,                                        PSP,wrestling,Def Jam: Fight for NY: The Takeover,79
25,                                        GameCube,wrestling,WWE Day of Reckoning,79
26,                                        Wii,wrestling,WWE SmackDown vs. Raw 2009,79
27,                                        Wii,wrestling,WWE SmackDown vs. Raw 2010,78
28,                                        Xbox 360,wrestling,WWE '13,78
29,                                        PlayStation 3,wrestling,WWE SmackDown vs. Raw 2009,78
30,                                        PSP,wrestling,WWE SmackDown vs. Raw 2007,78
31,                                        PlayStation 2,wrestling,WWE SmackDown vs. Raw 2009,78
32,                                        PlayStation 2,wrestling,Fire Pro Wrestling Returns,78
33,                                        PlayStation 3,wrestling,EA Sports MMA,77
34,                                        GameCube,wrestling,Ultimate Muscle: Legends vs New Generation,77
35,                                        GameCube,wrestling,WWE WrestleMania XIX,76
36,                                        GameCube,wrestling,WWE Day of Reckoning 2,76
37,                                        PlayStation 3,wrestling,WWE '13,76
38,                                        PlayStation 2,wrestling,WWF SmackDown! Just Bring It,76
39,                                        PC,wrestling,Total Extreme Wrestling 2004,76
40,                                        Xbox 360,wrestling,WWE 2K14,75
41,                                        Xbox 360,wrestling,WWE All Stars,75
42,                                        PlayStation 3,wrestling,WWE All Stars,75
43,                                        Xbox 360,wrestling,WWE SmackDown vs. Raw 2011,75
44,                                        DS,wrestling,WWE SmackDown vs. Raw 2010,75
45,                                        PlayStation 3,wrestling,WWE SmackDown vs. Raw 2008,74
46,                                        PlayStation 3,wrestling,WWE SmackDown vs. Raw 2011,74
47,                                        PlayStation 3,wrestling,WWE 2K14,74
48,                                        PSP,wrestling,UFC Undisputed 2010,74
49,                                        Wii,wrestling,WWE '13,74
50,                                        Wii,wrestling,WWE '12,74
51,                                        Game Boy Advance,wrestling,WWE Road to WrestleMania X8,73
52,                                        Game Boy Advance,wrestling,Fire Pro Wrestling 2,72
53,                                        PSP,wrestling,WWE SmackDown vs. Raw 2009,72
54,                                        Wii,wrestling,WWE SmackDown vs. Raw 2011,72
55,                                        PlayStation 3,wrestling,WWE '12,72
56,                                        Xbox 360,wrestling,WWE '12,71
57,                                        Xbox 360,wrestling,WWE Legends of WrestleMania,71
58,                                        PlayStation 2,wrestling,WWE SmackDown vs. Raw 2008,71
59,                                        3DS,wrestling,WWE All Stars,71
60,                                        Xbox 360,wrestling,WWE SmackDown vs. Raw 2008,71
61,                                        Game Boy Advance,wrestling,Ultimate Muscle: The Kinnikuman Legacy - The Path of the Superhero,70
62,                                        PSP,wrestling,WWE All Stars,70
63,                                        PlayStation 3,wrestling,WWE Legends of WrestleMania,70
64,                                        Wii,wrestling,WWE All Stars,68
65,                                        PSP,wrestling,WWE SmackDown vs. Raw 2008,68
66,                                        Xbox,wrestling,WWF Raw,68
67,                                        Xbox,wrestling,WWE Raw 2,68
68,                                        PlayStation 2,wrestling,Rumble Roses,66
69,                                        Dreamcast,wrestling,WWF Royal Rumble,66
70,                                        Xbox,wrestling,Legends of Wrestling,65
71,                                        GameCube,wrestling,WWE WrestleMania X8,64
72,                                        PlayStation 3,wrestling,TNA iMPACT!,64
73,                                        Xbox,wrestling,Legends of Wrestling II,62
74,                                        Xbox 360,wrestling,TNA iMPACT!,62
75,                                        Game Boy Advance,wrestling,WWF Road to Wrestlemania,62
76,                                        Xbox 360,wrestling,Rumble Roses XX,62
77,                                        DS,wrestling,WWE SmackDown vs. Raw 2008,61
78,                                        PlayStation 2,wrestling,Galactic Wrestling: Featuring Ultimate Muscle,61
79,                                        GameCube,wrestling,Legends of Wrestling II,59
80,                                        Wii,wrestling,WWE SmackDown vs. Raw 2008,59
81,                                        PlayStation 2,wrestling,Legends of Wrestling II,59
82,                                        DS,wrestling,WWE SmackDown vs. Raw 2009,58
83,                                        PlayStation 2,wrestling,TNA iMPACT!,58
84,                                        Xbox,wrestling,Showdown: Legends of Wrestling,57
85,                                        Game Boy Advance,wrestling,Barnyard,56
86,                                        Xbox,wrestling,WWE WrestleMania 21,56
87,                                        PlayStation 2,wrestling,Legends of Wrestling,55
88,                                        Game Boy Advance,wrestling,WWE Survivor Series,55
89,                                        PlayStation 2,wrestling,Showdown: Legends of Wrestling,55
