,platform,title,score,genre
0,"
Platform:

                                        PlayStation 4
                                                                            
",Persona 5 Royal,95,games
1,"
Platform:

                                        PlayStation 4
                                                                            
",The Last of Us Part II,93,games
2,"
Platform:

                                        Switch
                                                                            
",Hades,93,games
3,"
Platform:

                                        PC
                                                                            
",Half-Life: Alyx,93,games
4,"
Platform:

                                        Switch
                                                                            
",Ori and the Will of the Wisps,93,games
5,"
Platform:

                                        PC
                                                                            
",Hades,92,games
6,"
Platform:

                                        PC
                                                                            
",Microsoft Flight Simulator,91,games
7,"
Platform:

                                        PlayStation 5
                                                                            
",Demon's Souls,91,games
8,"
Platform:

                                        PC
                                                                            
",Crusader Kings III,91,games
9,"
Platform:

                                        Xbox One
                                                                            
",F1 2020,91,games
10,"
Platform:

                                        PC
                                                                            
",Spelunky 2,91,games
11,"
Platform:

                                        Switch
                                                                            
",Animal Crossing: New Horizons,90,games
12,"
Platform:

                                        Xbox One
                                                                            
",Yakuza: Like a Dragon,90,games
13,"
Platform:

                                        Xbox One
                                                                            
",Ori and the Will of the Wisps,90,games
14,"
Platform:

                                        Xbox One
                                                                            
",Yakuza 0,90,games
15,"
Platform:

                                        Switch
                                                                            
",Xenoblade Chronicles: Definitive Edition,89,games
16,"
Platform:

                                        PC
                                                                            
",There is no game : Wrong dimension,89,games
17,"
Platform:

                                        PlayStation 4
                                                                            
",Dreams,89,games
18,"
Platform:

                                        PlayStation 4
                                                                            
",Tony Hawk's Pro Skater 1 + 2,89,games
19,"
Platform:

                                        PC
                                                                            
",Tony Hawk's Pro Skater 1 + 2,88,games
20,"
Platform:

                                        PC
                                                                            
",Ori and the Will of the Wisps,88,games
21,"
Platform:

                                        Xbox One
                                                                            
",Tony Hawk's Pro Skater 1 + 2,88,games
22,"
Platform:

                                        Xbox One
                                                                            
",DOOM Eternal,88,games
23,"
Platform:

                                        PC
                                                                            
",Halo: The Master Chief Collection - Halo 3,88,games
24,"
Platform:

                                        Xbox Series X
                                                                            
",Tetris Effect: Connected,88,games
25,"
Platform:

                                        PC
                                                                            
",F1 2020,88,games
26,"
Platform:

                                        Switch
                                                                            
",A Short Hike,88,games
27,"
Platform:

                                        PC
                                                                            
",DOOM Eternal,88,games
28,"
Platform:

                                        PlayStation 4
                                                                            
",Pistol Whip,88,games
29,"
Platform:

                                        PlayStation 4
                                                                            
",Kentucky Route Zero: TV Edition,88,games
