,platform,genre,title,score,Unnamed: 0.1,nplatform,ngenre
0,Wii,platformer,Super Mario Galaxy,97,,0,0
1,Wii,platformer,Super Mario Galaxy 2,97,,0,0
2,PlayStation 3,platformer,LittleBigPlanet,95,,1,0
6,Xbox 360,platformer,Braid,93,,5,0
7,Wii U,platformer,Super Mario 3D World,93,,6,0
9,PlayStation 3,platformer,Braid,93,,1,0
11,3DS,platformer,Cave Story,93,,9,0
15,PlayStation 3,platformer,Journey,92,,1,0
17,Wii,platformer,Rayman Origins,92,,0,0
18,Wii U,platformer,Rayman Legends,92,,6,0
20,PlayStation 3,platformer,LittleBigPlanet 2,91,,1,0
21,PlayStation Vita,platformer,Fez,91,,11,0
22,Xbox One,platformer,Rayman Legends,91,,12,0
27,PC,platformer,Fez,91,,14,0
29,PlayStation 3,platformer,Rayman Legends,91,,1,0
30,PC,platformer,Mark of the Ninja,91,,14,0
36,PC,platformer,Spelunky,90,,14,0
38,PlayStation 4,platformer,Rayman Legends,90,,15,0
41,PlayStation 4,platformer,Fez,90,,15,0
42,PC,platformer,Braid,90,,14,0
43,3DS,platformer,Shovel Knight,90,,9,0
44,Xbox 360,platformer,LIMBO,90,,5,0
45,Xbox 360,platformer,Mark of the Ninja,90,,5,0
46,Xbox 360,platformer,Super Meat Boy,90,,5,0
47,3DS,platformer,Super Mario 3D Land,90,,9,0
49,PlayStation 3,platformer,LIMBO,90,,1,0
50,Xbox 360,platformer,Rayman Legends,90,,5,0
53,Wii U,platformer,Skylanders Swap Force,89,,6,0
54,Xbox 360,platformer,Castlevania: Symphony of the Night,89,,5,0
55,Xbox 360,platformer,Fez,89,,5,0
56,Wii,platformer,Cave Story,89,,0,0
59,PlayStation Vita,platformer,LIMBO,89,,11,0
60,PlayStation 3,platformer,Ratchet & Clank Future: Tools of Destruction,89,,1,0
62,PC,platformer,Rayman Legends,89,,14,0
63,PlayStation Vita,platformer,Spelunky,88,,11,0
64,PC,platformer,LIMBO,88,,14,0
66,Wii U,platformer,Shovel Knight,88,,6,0
67,PlayStation Vita,platformer,Rayman Origins,88,,11,0
72,PC,platformer,Guacamelee! Gold Edition,88,,14,0
74,PlayStation Vita,platformer,LittleBigPlanet PS Vita,88,,11,0
76,PC,platformer,Super Meat Boy,87,,14,0
77,PC,platformer,Oddworld: Abe's Oddysee - New 'n' Tasty,87,,14,0
78,PlayStation Vita,platformer,Guacamelee!,87,,11,0
79,Wii,platformer,La-Mulana,87,,0,0
80,PC,platformer,The Swapper,87,,14,0
83,Wii,platformer,New Super Mario Bros. Wii,87,,0,0
84,PlayStation Vita,platformer,Rayman Legends,87,,11,0
85,Wii,platformer,Donkey Kong Country Returns,87,,0,0
86,PlayStation 3,platformer,Bionic Commando Rearmed,87,,1,0
87,PlayStation 3,platformer,Rayman Origins,87,,1,0
88,PC,platformer,Psychonauts,87,,14,0
89,Xbox 360,platformer,Rayman Origins,87,,5,0
90,Xbox 360,platformer,Spelunky,87,,5,0
92,PlayStation 3,platformer,Ratchet & Clank Future: A Crack in Time,87,,1,0
94,Wii,platformer,LostWinds: Winter of the Melodias,86,,0,0
95,Wii,platformer,Kirby's Epic Yarn,86,,0,0
100,Wii,platformer,Fluidity,86,,0,0
101,PC,platformer,Rayman Origins,86,,14,0
104,PlayStation 3,platformer,PixelJunk Eden Encore,86,,1,0
105,PlayStation Vita,platformer,Tales From Space: Mutant Blobs Attack,86,,11,0
106,PC,platformer,Bionic Commando Rearmed,86,,14,0
114,PlayStation Vita,platformer,Rogue Legacy,85,,11,0
115,PC,platformer,Shovel Knight,85,,14,0
116,Wii,platformer,Super Paper Mario,85,,0,0
118,PC,platformer,Rogue Legacy,85,,14,0
119,Xbox 360,platformer,BattleBlock Theater,85,,5,0
120,PlayStation 4,platformer,Rogue Legacy,85,,15,0
121,Xbox 360,platformer,Trine 2,85,,5,0
123,Xbox 360,platformer,Bionic Commando Rearmed,85,,5,0
124,PlayStation Vita,platformer,Terraria,85,,11,0
125,PlayStation 3,platformer,Trine 2,85,,1,0
126,Xbox 360,platformer,'Splosion Man,84,,5,0
128,Xbox 360,platformer,Outland,84,,5,0
129,PC,platformer,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,84,,14,0
130,Wii U,platformer,Trine 2: Director's Cut,84,,6,0
131,PlayStation 3,platformer,Guacamelee!,84,,1,0
138,Wii U,platformer,Mutant Mudds Deluxe,84,,6,0
139,PlayStation 4,platformer,Oddworld: Abe's Oddysee - New 'n' Tasty,84,,15,0
140,Wii U,platformer,New Super Mario Bros. U,84,,6,0
141,PC,platformer,Trine 2,84,,14,0
144,PlayStation 4,platformer,Trine 2: Complete Story,84,,15,0
146,Wii U,platformer,1001 Spikes,83,,6,0
148,3DS,platformer,Donkey Kong Country Returns 3D,83,,9,0
149,Xbox 360,platformer,N+,83,,5,0
150,Wii,platformer,Mega Man 9,83,,0,0
153,PC,platformer,Terraria,83,,14,0
154,PC,platformer,Tales From Space: Mutant Blobs Attack,83,,14,0
155,PlayStation Vita,platformer,Oddworld: Abe's Oddysee - New 'n' Tasty,83,,11,0
