platform,genre,title,score
3DS,Action,Kirby's Extra Epic Yarn Review - All Stitched Up,9
3DS,Action,Luigi's Mansion Review - Old Haunts,7
3DS,Action,Dillon's Dead-Heat Breakers Review: Running On Fumes,6
3DS,Action,Metroid: Samus Returns Review,9
3DS,Action,Miitopia Review,5
3DS,Action,Hey Pikmin Review,6
3DS,Action,Ever Oasis Review,7
3DS,Action,Poochy and Yoshi’s Woolly World Review,7
3DS,Action,Sonic Boom: Fire and Ice Review,6
3DS,Action,Azure Striker Gunvolt 2 Review,8
3DS,Action,River City: Tokyo Rumble Review,7
3DS,Action,Metroid Prime: Federation Force Review,5
3DS,Action,Monster Hunter Generations Review,8
3DS,Action,Kirby: Planet Robobot Review,8
3DS,Action,Hyrule Warriors Legends Review,7
3DS,Action,Final Fantasy Explorers Review,7
3DS,Action,The Legend of Zelda: Tri Force Heroes Review,5
3DS,Action,Chibi-Robo Zip Lash Review,4
3DS,Action,LBX: Little Battlers eXperience Review,7
3DS,Action,Stretchmo Review,7
3DS,Action,Attack On Titan: Humanity In Chains Review,4
3DS,Action,BoxBoy! Review,8
3DS,Action,Xenoblade Chronicles 3D Review,8
3DS,Action,Mario vs. Donkey Kong: Tipping Stars Review,5
3DS,Action,Monster Hunter 4 Ultimate Review,9
3DS,Action,The Legend of Zelda: Majora's Mask 3D Review,9
3DS,Action,Super Smash Bros. 3DS Review,8
3DS,Action,Azure Striker: Gunvolt Review,8
3DS,Action,Siesta Fiesta Review,7
3DS,Action,Shovel Knight Review,7
3DS,Action,Kirby: Triple Deluxe Review,8
3DS,Action,Yoshi's New Island Review,5
3DS,Action,The Legend of Zelda: A Link Between Worlds Review,9
3DS,Action,Rune Factory 4 Review,7
3DS,Action,Scribblenauts Unmasked Review,5
3DS,Action,Steamworld Dig Review,7
3DS,Action,Donkey Kong Country Returns 3D Review,7
3DS,Action,Luigi's Mansion: Dark Moon Review,6.5
3DS,Action,Monster Hunter 3 Ultimate Review,7
3DS,Action,Castlevania: Lords of Shadow - Mirror of Fate Review,7
3DS,Action,Disney Epic Mickey: Power of Illusion Review,8
3DS,Action,Code of Princess Review,7
3DS,Action,Liberation Maiden Review,8.5
3DS,Action,New Super Mario Bros. 2 Review,7
3DS,Action,Kingdom Hearts 3D Review,7
3DS,Action,Heroes of Ruin Review,6
3DS,Action,Kid Icarus: Uprising Review,8
3DS,Action,Metal Gear Solid: Snake Eater 3D Review,8
3DS,Action,Tekken 3D Prime Edition Review,6.5
3DS,Action,Mutant Mudds Review,7.5
3DS,Action,One Piece: Unlimited Cruise SP Review,4
3DS,Action,Sakura Samurai: Art of the Sword Review,7.5
3DS,Action,Resident Evil: Revelations Review,8.5
3DS,Action,Mighty Switch Force Review,7.5
3DS,Action,Pushmo Review,8.5
3DS,Action,Cave Story 3D Review,8
3DS,Action,Tales of the Abyss Review,7
3DS,Action,Shinobi Review,7.5
3DS,Action,Super Mario 3D Land Review,8
3DS,Action,Pokemon Rumble Blast Review,4.5
3DS,Action,Star Fox 64 3D Review,7.5
3DS,Action,Resident Evil: The Mercenaries 3D Review,6.5
3DS,Action,Cubic Ninja Review,5.5
3DS,Adventure,Luigi's Mansion Review - Old Haunts,7
3DS,Adventure,"Detective Pikachu Review: Elementary, My Dear Watt-son",7
3DS,Adventure,Metroid: Samus Returns Review,9
3DS,Adventure,Phoenix Wright: Ace Attorney - Spirit of Justice Review,8
3DS,Adventure,Zero Escape: Zero Time Dilemma Review,6
3DS,Adventure,The Legend of Zelda: Tri Force Heroes Review,5
3DS,Adventure,The Legend of Zelda: Majora's Mask 3D Review,9
3DS,Adventure,The Legend of Zelda: A Link Between Worlds Review,9
3DS,Adventure,Phoenix Wright: Ace Attorney - Dual Destinies Review,8
3DS,Adventure,Steamworld Dig Review,7
3DS,Adventure,Luigi's Mansion: Dark Moon Review,6.5
3DS,Adventure,Castlevania: Lords of Shadow - Mirror of Fate Review,7
3DS,Adventure,Zero Escape: Virtue's Last Reward Review,8.5
3DS,Adventure,Kid Icarus: Uprising Review,8
3DS,Adventure,Metal Gear Solid: Snake Eater 3D Review,8
3DS,Adventure,Resident Evil: Revelations Review,8.5
3DS,Adventure,The Legend of Zelda: Ocarina of Time 3D Review,8.5
3DS,Adventure,LEGO Pirates of the Caribbean: The Video Game Review,6
3DS,Adventure,Combat of Giants: Dinosaurs 3D Review,4.5
3DS,Adventure,Lego Star Wars III: Attack of the Clones Review,6
3DS,Adventure,Splinter Cell 3D Review,5.5
3DS,Fighting,Super Smash Bros. 3DS Review,8
3DS,Fighting,Tekken 3D Prime Edition Review,6.5
3DS,Fighting,Cartoon Network: Punch Time Explosion Review,5.5
3DS,Fighting,Dead or Alive: Dimensions Review,7.5
3DS,Fighting,Super Street Fighter IV: 3D Edition Review,8.5
3DS,First-Person,Metroid Prime: Federation Force Review,5
3DS,Flight,Pilotwings Resort Review,6.5
3DS,Party/Minigame,WarioWare Gold Review - Worth Its Weight,8
3DS,Party/Minigame,Super Smash Bros. 3DS Review,8
3DS,Party/Minigame,Mario Party: Island Tour Review,7
3DS,Platformer,Kirby's Extra Epic Yarn Review - All Stitched Up,9
3DS,Platformer,Hey Pikmin Review,6
3DS,Platformer,Poochy and Yoshi’s Woolly World Review,7
3DS,Platformer,Sonic Boom: Fire and Ice Review,6
3DS,Platformer,Azure Striker Gunvolt 2 Review,8
3DS,Platformer,Kirby: Planet Robobot Review,8
3DS,Platformer,Chibi-Robo Zip Lash Review,4
3DS,Platformer,Azure Striker: Gunvolt Review,8
3DS,Platformer,Shovel Knight Review,7
3DS,Platformer,Kirby: Triple Deluxe Review,8
3DS,Platformer,Yoshi's New Island Review,5
3DS,Platformer,Donkey Kong Country Returns 3D Review,7
3DS,Platformer,Disney Epic Mickey: Power of Illusion Review,8
3DS,Platformer,New Super Mario Bros. 2 Review,7
3DS,Platformer,Mutant Mudds Review,7.5
3DS,Platformer,Mighty Switch Force Review,7.5
3DS,Platformer,Cave Story 3D Review,8
3DS,Platformer,Shinobi Review,7.5
3DS,Platformer,Super Mario 3D Land Review,8
3DS,Platformer,Rabbids Travel in Time 3D Review,6
3DS,Platformer,Rayman 3D Review,7
3DS,Puzzle,Dr. Mario: Miracle Cure Review,7
3DS,Puzzle,Stretchmo Review,7
3DS,Puzzle,BoxBoy! Review,8
3DS,Puzzle,Mario vs. Donkey Kong: Tipping Stars Review,5
3DS,Puzzle,Siesta Fiesta Review,7
3DS,Puzzle,Professor Layton vs. Phoenix Wright: Ace Attorney Review,8
3DS,Puzzle,Professor Layton and the Azran Legacy Review,7
3DS,Puzzle,Scribblenauts Unmasked Review,5
3DS,Puzzle,Professor Layton and the Miracle Mask Review,8.5
3DS,Puzzle,Shifting World Review,5.5
3DS,Puzzle,Pushmo Review,8.5
3DS,Puzzle,James Noir's Hollywood Crimes Review,7
3DS,Puzzle,Tetris Axis Review,7
3DS,Puzzle,Cubic Ninja Review,5.5
3DS,Puzzle,Bust-A-Move Universe Review,5
3DS,Driving/Racing,Mario Kart 7 Review,8
3DS,Driving/Racing,Driver: Renegade 3D Review,3.5
3DS,Driving/Racing,Ridge Racer 3D Review,7
3DS,Driving/Racing,Asphalt 3D Review,5.5
3DS,Role-Playing,Persona Q2 Review - You Oughta Be In Pictures,7
3DS,Role-Playing,Yo-kai Watch 3 Review - Tokyo To Texas,6
3DS,Role-Playing,Etrian Odyssey Nexus Review - Where All Paths Cross,8
3DS,Role-Playing,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey Review,8
3DS,Role-Playing,The Alliance Alive Review: A Change Of Pace,8
3DS,Role-Playing,Radiant Historia Perfect Chronology Review: Time After Time After Time,8
3DS,Role-Playing,Pokemon Ultra Sun And Ultra Moon Review,8
3DS,Role-Playing,Etrian Odyssey 5: Beyond The Myth Review,8
3DS,Role-Playing,Mario & Luigi: Superstar Saga + Bowser's Minions Review,8
3DS,Role-Playing,Ever Oasis Review,7
3DS,Role-Playing,Dragon Ball Fusions Review,6
3DS,Role-Playing,Pokemon Sun and Moon Review,8
3DS,Role-Playing,Yo-Kai Watch 2 Review,5
3DS,Role-Playing,Shin Megami Tensei 4: Apocalypse Review,9
3DS,Role-Playing,Monster Hunter Generations Review,8
3DS,Role-Playing,7th Dragon III Code: VFD Review,8
3DS,Role-Playing,Bravely Second: End Layer Review,7
3DS,Role-Playing,Mario & Luigi: Paper Jam Review,6
3DS,Role-Playing,Final Fantasy Explorers Review,7
3DS,Role-Playing,Yo-Kai Watch Review,7
3DS,Role-Playing,The Legend of Legacy Review,6
3DS,Role-Playing,LBX: Little Battlers eXperience Review,7
3DS,Role-Playing,Etrian Odyssey Untold 2: The Fafnir Knight Review,7
3DS,Role-Playing,Etrian Mystery Dungeon Review,7
3DS,Role-Playing,Xenoblade Chronicles 3D Review,8
3DS,Role-Playing,Monster Hunter 4 Ultimate Review,9
3DS,Role-Playing,Persona Q: Shadow of the Labyrinth Review,8
3DS,Role-Playing,Pokemon Omega Ruby/Alpha Sapphire Review,8
3DS,Role-Playing,Fantasy Life Review,6
3DS,Role-Playing,Bravely Default Review,8
3DS,Role-Playing,Rune Factory 4 Review,7
3DS,Role-Playing,Pokemon X/Y Review,8
3DS,Role-Playing,Etrian Odyssey Untold: The Millenium Girl Review,8
3DS,Role-Playing,Shin Megami Tensei IV Review,8
3DS,Role-Playing,Mario & Luigi: Dream Team Review,8
3DS,Role-Playing,Denpa Men 2: Beyond the Waves Review,8
3DS,Role-Playing,Devil Summoner: Soul Hackers Review,7
3DS,Role-Playing,Pokemon Mystery Dungeon: Gates to Infinity Review,5
3DS,Role-Playing,Monster Hunter 3 Ultimate Review,7
3DS,Role-Playing,Etrian Odyssey IV Review,8
3DS,Role-Playing,Paper Mario: Sticker Star Review,7.5
3DS,Simulation,Animal Crossing: Happy Home Designer Review,5
3DS,Simulation,Tomodachi Life Review,7
3DS,Simulation,Animal Crossing: New Leaf Review,8
3DS,Simulation,Madden NFL Football Review,4
3DS,Simulation,The Sims 3 Review,5.5
3DS,Simulation,Nintendogs + Cats: Toy Poodle & New Friends Review,7.5
3DS,Simulation,Nintendogs + Cats: Golden Retriever and New Friends Review,7.5
3DS,Simulation,Nintendogs + Cats: French Bulldog and New Friends Review,7.5
3DS,Simulation,Pro Evolution Soccer 2011 3D Review,7
3DS,Simulation,Steel Diver Review,4.5
3DS,Simulation,Pilotwings Resort Review,6.5
3DS,Sports,Mario Golf: World Tour Review,7
3DS,Sports,Mario Tennis Open Review,5.5
3DS,Sports,Brunswick Pro Bowling Review,5
3DS,Sports,Deca Sports Extreme Review,3.5
3DS,Sports,Madden NFL Football Review,4
3DS,Sports,Pro Evolution Soccer 2011 3D Review,7
3DS,Strategy,Fire Emblem Echoes: Shadows of Valentia Review,9
3DS,Strategy,Story of Seasons: Trio of Towns Review,7
3DS,Strategy,Project X Zone 2 Review,5
3DS,Strategy,Fire Emblem Fates: Birthright Review,8
3DS,Strategy,Fire Emblem Fates: Revelation Review,9
3DS,Strategy,Fire Emblem Fates: Conquest Review,7
3DS,Strategy,SteamWorld Heist Review,8
3DS,Strategy,Shin Megami Tensei: Devil Survivor 2 Record Breaker Review,8
3DS,Strategy,Story of Seasons Review,7
3DS,Strategy,Code Name S.T.E.A.M Review,4
3DS,Strategy,Project X Zone Review,6.5
3DS,Strategy,Fire Emblem: Awakening Review,8.5
3DS,Strategy,Tom Clancy's Ghost Recon: Shadow Wars Review,8
3DS,Strategy,Nintendogs + Cats: Toy Poodle & New Friends Review,7.5
3DS,Strategy,Nintendogs + Cats: Golden Retriever and New Friends Review,7.5
3DS,Strategy,Nintendogs + Cats: French Bulldog and New Friends Review,7.5
3DS,Third-Person,"Detective Pikachu Review: Elementary, My Dear Watt-son",7
3DS,Third-Person,Resident Evil: The Mercenaries 3D Review,6.5
3DS,Turn-Based,Fire Emblem Echoes: Shadows of Valentia Review,9
3DS,Turn-Based,Project X Zone 2 Review,5
3DS,Turn-Based,Fire Emblem Fates: Conquest Review,7
3DS,Turn-Based,Fire Emblem Fates: Birthright Review,8
3DS,Turn-Based,Fire Emblem Fates: Revelation Review,9
3DS,Turn-Based,SteamWorld Heist Review,8
3DS,Turn-Based,Shin Megami Tensei: Devil Survivor 2 Record Breaker Review,8
3DS,Turn-Based,Code Name S.T.E.A.M Review,4
3DS,Turn-Based,Project X Zone Review,6.5
3DS,Turn-Based,Fire Emblem: Awakening Review,8.5
3DS,Turn-Based,Tom Clancy's Ghost Recon: Shadow Wars Review,8
Nintendo Switch,Action,Hyrule Warriors: Age Of Calamity Review,6
Nintendo Switch,Action,Control: Ultimate Edition Cloud Version Review,7
Nintendo Switch,Action,Disc Room Review – Getting Buzzed,8
Nintendo Switch,Action,Super Mario Bros. 35 Review – Mario Royale,7
Nintendo Switch,Action,Kirby Fighters 2 Review – 2 Kirby 2 Furious,6
Nintendo Switch,Action,"Hades Review – The Long, Hard Road Out of Hell",9
Nintendo Switch,Action,The Last Campfire Review – One Step At A Time,8
Nintendo Switch,Action,No Straight Roads Review – Bangers And Smash,7
Nintendo Switch,Action,Panzer Paladin Review,8
Nintendo Switch,Action,Carrion Review,7
Nintendo Switch,Action,Bloodstained: Curse Of The Moon 2 Review,8
