platform,genre,title,score
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,98
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,95
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,95
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,98
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,95
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,90
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,97
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,95
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,90
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,97
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,80
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,95
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,90
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,95
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,90
Nintendo Switch,Adventure|Platformer,Super Mario Odyssey,100
PC,Adventure|Third-Person Shooter,Red Dead Redemption 2,88
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,80
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,90
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,90
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,90
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,95
PC,Adventure|Third-Person Shooter,Red Dead Redemption 2,99
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,99
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,90
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,90
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,98
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
PC,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
PC,Adventure|Third-Person Shooter,Red Dead Redemption 2,90
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
Xbox One,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
PC,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
Xbox One,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
Xbox One,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
PC,Adventure|Third-Person Shooter,Red Dead Redemption 2,90
PC,Adventure|Third-Person Shooter,Red Dead Redemption 2,93
PC,Adventure|Third-Person Shooter,Red Dead Redemption 2,80
PC,Adventure|Third-Person Shooter,Red Dead Redemption 2,99
PlayStation 4,Adventure|Third-Person Shooter,Red Dead Redemption 2,100
Nintendo Switch,Adventure|RPG,The Legend of Zelda: Breath of the Wild,100
